2	7	Put Your Head on My Shoulder	2	10	20000213	20
Lincoln	score,1145,years,ago,forefathers',foreheads,conceived,new,nation
Washington	Presidents',Day,honoureth,values,body,fought,died
Malfunctioning Eddie	Values,like,brand,new,Plymouth,V'Ger,Hi,I'm,Malfunctioning,Eddie,I'm,malfunctioning,badly,I'm,practically,giving,cars,away
Amy	Hey,let's,car,shopping,parents,promised,got,B's,they'd,buy,bar,got,C's
Bender	Mind,tag,gotta,bring,ass,servicing,recall,notice,says,burst,flames,low,speed,collision
Fry	wonder,you've,staying,conga,lines,lately
Leela	I'll,coat,Let's,Bender
Victor	Hello,Victor,know,things,art,unloading,fine,cars,beautiful,women
Leela	Uh,huh,tell,she's,witty,sophisticated
Victor	Ah,ah,ah,gentleman,sells,lady,car,Beta,Romeo,Yes,Beta,Romeo,Note,cross,your,heart,seat,belt,protects,lifts,separates
Salesman	Spotted,minute,walked,didn't,sir,She's,real,beauty
Fry	Yup,she's,beautiful,coffee,alright
Salesman	Ford,Thundercougarfalconbird,makes,feel,like,man,Thundercougarfalconbird,thinking,spending,Thundercougarfalconbird
Fry	Sorry,I'm,buy
Salesman	understand,it's,wonderful,don't,care,questions,sexual,orientation
Fry	care,care,plenty,just,don't,know,make,stop
Salesman	word,Thundercougarfalconbird
Victor	luxurious,seats,stuffed,eagle,dashboard,inlaid,beaks,thousand,eagles,eagles,floorboards
Amy	That's,awful,lot,eagle
Victor	Yes,yet,,
Amy	What's,wrong
Victor	just,luxury,edition,eagle,saddens,think,missing
Amy	Oh,don't,sad,parents,paying,they're,incredibly,rich
Mechanic	installed,shock,absorbing,bumpers,reduce,risk,catastrophic,butt,failure
Bender	sir,defaced,national,treasure,demand,restore,buttocks,glory
Mechanic	Alright,sooner,later,ass,gonna,blow,does,just,pray,you're,moonin',care
Amy	Smeesh,Leela,car,beautiful,woman,like,needs,Victor,said
Victor	dog,food,Victor,tonight
Leela	OK,sticker,says,55000,we'll,high,say,,
Amy	60000
Victor	Oh,ask,manager
Leela	Amy,don't,sticker,price
Amy	thought,auction
Victor	happy
Amy	I'm,sorry,80000
Amy	Uh,oh,I'm,terrible,parallel,parking
Hermes	You're,bogarting,patience
Leela	Hermes,yelling
Hermes	Myself,asked,myself,Valentine's,Day,mood,shenanigans
Fry	Valentine's,Day's,coming,Oh,crap,forgot,girlfriend,date,don't
Leela	just,assume,can't,Valentine's,date
Fry	Shall,say,o'clock
Amy	Hey,I'm,taking,new,car,spin,Mercury,Anybody,wanna,come
Fry	Yeah,OK,What's,weather,like
Amy	usual,Boiling,lead,oceans,lava
Fry	Shorts
Fry	Boy,AC,incredible,Boy,heater,incredible,I'd,better,turn,AC
Amy	Hey,icy,margaritas
Fry	We're,slowing
Amy	Don't,worry,I'll,hit,fuel,guzzler
Fry	Uh,oh
Amy	It's,OK,emergency,phone
Fry	doing
Amy	Spluh,It's,video,phone,Hello,Septuple,A
Fry	Phew
Amy	It'll,couple,hours,Oh,I'm,gonna,sweat,sweat,suit
Fry	Hey,tell,You've,got,money,come,dress,like,you're,doing,laundry
Amy	guess,'cause,parents,telling,ladylike
Fry	I've,folks,groom,myself,wear,underpants,Pope
Amy	Yeah,Pope,they'd,Straighten,Pope,hat,good,vestments,know,Fry,it's,nice,talk,stuff,junk
Fry	Yeah,it's,like,feel,way,junk,stuff
Amy	they're,towin',wanna
Fry	Yeah
Hermes	concludes,summary,movie,saw,night,old,business
All	
Hermes	new,business
All	
Hermes	spend,night
Amy	Yep
Fry	Kind
Bender	
Hermes	Oh,God
Amy	ran,fuel,Mercury,thing,led
Fry	led,got,home
Bender	Congratulations,Fry,snagged,perfect,girlfriend,Amy's,rich,she's,probably,got,characteristics
Leela	Bender,Romance,isn't,money
Bender	Oh,it's,just,coincidence,Zoidberg,desperately,poor,miserably,lonely,Puh,lease
Leela	information,it's,he's,hideous
Hermes	think,Amy,Fry,like,lime,coconut
Farnsworth	hear,wedding,bells
Fry	
Farnsworth	Really,Oh,dear
Zoidberg	You're,lucky,I'd,pay,end,miserable,loneliness,weren't,desperately,poor
Bender	Wait,mean,people,pay,good,money,romance,Hmm,think,scheme,deviously,clever,I,,
Judge	$500,time,served
Bender	Stupid,anti,pimping,laws,pay,man
Hookerbot	Bender,honey,love
Bender	Shut,baby,know
Bender	Ah,dating,It's,like,pimping,rarely,use,phrase,upside,head
Leela	Bender,stupid,come,romantic,help
Bender	Hey,Don't,make,upside,head
Hermes	Fry,Amy,pants,need,stapler
Zoidberg	Stop,Stop,interrupt,mating,dance,male,enraged,maul,fearsome,gonad
Fry	Wait,aren't,making
Amy	'unno
Bender	OK,Mister
Zapp	Uh,Smith,Zapp,Smith,Uh,Brannigan
Bender	Just,check,things,you're,looking,love,partner
Zapp	Let's,Oh,yes,Mmm,I'll,just,menu
Bender	run,high,speed,romance,a,logical,data,fier,Say,hello,Miss,Right
Zapp	Hello
Fry	Wow,We're,great,kissers
Amy	Yeah,Hey,later,wanna,drive,Europa,picnic,spit,watermelon,seeds,Jupiter
Fry	Hey,yeah,used,spit,stuff,20th,century,Ah,it's,cool,sort,think,exactly,alike,junk
Amy	Yeah,Y'know,Fry,really,like,hanging
Fry	going,great,sudden,she's,talking,hanging,Hanging,She's,getting,way,I'm,woman,man,Leela
Leela	You'll,zero,soon
Fry	Don't,She's,smothering
Amy	Hi
Fry	You,she's,bothering,I'm,work
Leela	Fry
Fry	I'm,doing,job,there's,Amy,spend,hours,selecting,candy,machine,there's,Amy,wake,morning,sleeping,Amy,there's,Amy
Leela	think,you're,reacting
Fry	mean,I'm,pulling,delivery,boy,money
Leela	Fry,she's,pulling,billionaire,trust,fund,money
Fry	wants,trophy,husband,Leela,gotta,come,Europa,can't
Amy	ready,secluded,picnic,just
Fry	Hey,know,loves,secluded,picnics,just,Uh,Dr,Zoidberg
Zoidberg	Did,say,free,hot,meal
Zoidberg	Mmm,haven't,eaten,Tuesday,Bird,eggs,animal,slices,gone,drive
Amy	Fry,busy,tomorrow,got,tickets,big,ape,fight
Fry	Jeez,we're,planning,spend,Valentine's,Day,Isn't
Amy	OK,sure,wanna,Valentine's,Day
Fry	Oh,sudden,we're,spending,Valentine's,Day
Amy	just,said,,
Fry	That's,Amy,talk,Zoidberg,drive
Zoidberg	Wahoo
Fry	Pardon,excuse
Zoidberg	Ah,I'll,just,turn,wheel,maximum,fastness
Fry	Amy,know,like,chocolate,start,tired,it,wants,hang
Amy	Huh,don't,like,chocolate
Fry	Look,chocolate,just,let,finish
Zoidberg	Vroom,vroom,winner,big,car,race,Hot,Rod,Zoidberg
Fry	Amy,I'm,trying,say,think,maybe,stop,,
Zoidberg	Uh,oh,drive
Zoidberg	Fry,alright
Fry	Ow,head,killing,happened,anybody,hurt
Zoidberg	no,no,course,I'm,afraid,body,badly,damaged,crash
Fry	badly
Zoidberg	That's,Don't,worry,managed,head,alive,quick,surgery
Fry	
Zoidberg	
Amy	Looks,like,we'll,spending,lot,time,Fry
Leela	sort,thing,happens,office,romances
Zoidberg	Don't,worry,Fry,we'll,body,fixed,days,Upsy,daisy
Fry	Amy,I'll,try,interfere,life
Amy	Fry
Fry	Ooh,sorry,guess,control,arm
Amy	wanted,talk,crashed
Fry	Oh,I'll,meet,closet
Fry	Amy,really,like,friend,think,we're,spending,time
Amy	You're,breaking
Fry	just,think,start,seeing,people
Amy	really,having,fun,that's,feel
Fry	I'm,sorry
Amy	Hey,listen,long,we're,seeing,mind,ask,Valentine's,Day
Fry	Huh
Amy	mean,unless,make,feel,bad,wheel
Fry	Hey,date,I'm,single,I'll,attract,sorts,women
Amy	body,think,attract,sort,woman
Fry	Oh
Leela	how's,business
Bender	familiar,friend,Al,Gore,I'm,tellin',losers,really,desperate,Valentine's,Day
Leela	Yeah,it's,pathetic,alright
Bender	500,bucks
Leela	
Bender	Zapp,Brannigan,OK
Leela	
Bender	600
Fry	Oh,hey,Leela,uh,talk,minute,private
Amy	Oh,problem
Fry	emergency,Amy,Valentine's,plans,goon,I'm,gonna,stuck,lonely,miserable,date
Leela	You're,late,Fry,I'm,sharing,Valentine's,Day,special,man,He's,Zapp,Brannigan
Fry	choice,pitiful,embarrassing,I'm,ashamed,tell
Leela	Bender's,office
Fry	Thanks
Bender	got,hook,up,Fry,usual,fee's,500,bucks,seeing,it's,I'll,need,advance
Amy	OK,Fry,we're,putting,bra
Fry	exactly,did,shave,legs,expecting,happen,Valentine's,date
Amy	business
Fry	thing,You're,using,awful,lot,make,up
Amy	deodorant
Fry	does
Amy	C'mon,Gary,I'll,just,20,minutes
Gary	I'll,waiting
Fry	20,minutes,You're,practically,ready
Amy	Yeah,it's,good,make,wait,little
Fry	Oh,God,it's,true
Gary	dress,looks,great
Amy	Thanks
Fry	
Gary	say,Amy,you're,just,like,Fry's,date
Amy	Mm,mm
Fry	I've,got,date,She'll,minute
Bender	Fry,look,It's,Petunia,dream,girl
Petunia	How's,eats
Fry	Uh
Petunia	Don't,mind,Kids'll,hungry
Fry	little,old
Bender	well,travelled,don't,mean,travels,lot
Petunia	Wheels,fell,house
Bender	rose,lady,bucks,pop
Gary	I'll
Fry	Oh,yeah,want
Bender	bucks
Fry	just,said,,
Bender	Demand,suddenly,skyrocketed,saw
Bender	Leela,meet,future,husband,Sal
Sal	Nice,eyeball,eyeball
Leela	Nice,ass,ass
Bender	Ooh,sparks,Buy,rose,guarantee,she'll
Sal	Eh,I'll,chances
Zapp	Cheers
Woman	Cheers
Petunia	tell,prospects,good,gambler
Fry	ma'am,I,,
Petunia	What's,game,Bingo,Keno,Wait,minute,don't,body
Fry	control,arm
Petunia	Slots,player,huh,Sorry,think,better
Fry	Wait,come,uh,darling
Petunia	Can't,hon',gotta,catch,bus,Nutley,I'd,kiss,goodnight,lost,teeth,pulling,stump
Sal	anyways,Leela,I'd,love,whack,ya,1015,Nutley,ain't,goin',nowheres,truly,behinds,wheel
Petunia	Excuse,did,say,1015,Nutley
Sal	yes,dids
Leela	Bender,Did,just,round,dates,bus,station
Bender	course
Sal	Anybodys,Nutley
Zapp	Baby,wait,didn't,surprise
Gary	know,I'd,like
Fry	Oh,jeez,room
Gary	Maybe,later
Fry	Hey,idea,Let's,ice,cream
Gary	Actually,thought,Amy,like,come,place,coffee
Amy	don't,really,like,coffee
Gary	
Amy	Ooh,feel,little,tipsy
Gary	Let,pick,check
Fry	Nooo,Ooh,Ow
Leela	isn't,favourite,head,Amy's,body,Fry
Fry	Oh,Leela
Amy	just,way
Leela	Nonsense,evening's,young,Gary,living
Gary	I'm,banking,industry,regulator
Leela	Really,Y'know,heard,banking,industry,regulations,really,simple
Gary	Oh,that's,true,modern,banking,regulations,product,different,regulatory,traditions,wanna,technical
Leela	Oh
Gary	began,1410,number,noblemen,convened
Fry	Thank
Zoidberg	good,new,dorsal,fin,I'm,afraid,couldn't,crash
Fry	live
Zoidberg	living
Farnsworth	don't,understand,wouldn't,let,graft,laser,cannon,chest,crush,disobey,guess,we're,just,different,people
Fry	uh,thanks,ride,Amy,hope,hard,feelings,date,stuff
Amy	It's,OK,fun,feel,lonely,just,look,disfiguring,scar,think
Fry	it's,nice,body
Leela	how's,old,corpse,hooked,OK
Fry	neck's,just,little,tender,Ow,Listen,Leela,Thanks,rescuing,night
Leela	Anytime,actually,enjoyed,hanging
