2	6	The Lesser of Two Evils	2	11	20000220	19
Announcer	Arachno,Spores,fatal,spore,funny
Announcer #1	Cop,Department,real,people,actors,aren't,people
Centipede Man	C'mon,man,didn't,laser
Smitty	smoking,hole,ceiling,sir
Centipede Man	Crazy,upstairs,lady,must've,shooting
URL	Sir,you're,floor,particular,domicile
Centipede Woman	camera,house
Smitty	Sir,sir,lamp
Centipede Man	OK,OK,I'm,co,operating
Smitty	That's,hands
URL	Nice,slow,Aw,yeah
Smitty	you're,unblur,face
Centipede Man	Aw,man
Leela	Hey,Bender,thought,said,episode
Bender	Nah,week,I'm,Caught,Tape,3,'cause,did,coffee,pot
Centipede Man	I'm,sorry,I'm,really,sorry,I'm,just,going,things
URL	I'm,goin'
Announcer #1	Cop,Department,return,messages
Announcer #2	today's,hectic,lifestyle,making,tense,impatient
Bender	Shut,point
Announcer #2	Old,New,York,comes,alive
Woman	It's,like,stepping,stepping,year,2000
Cowboy	Time,mammoth,hunt,dudes
Einstein Actor	Let's,disco,dance,Hammurabi
Hammurabi Actor	Dy,no,mite
Announcer #2	Located,site,Brooklyn
Leela	Sounds,like,kinda,place,Fry,Wanna
Fry	Nah,wanna,year,2000,I'll,just,freeze,myself
Bender	C'mon,Fry,really,wanna,know,yearn,simpler,time,time,barn,dances,buggy,rides,life,cheapened,heartless,hi,tech,machines
Leela	Bender,are,
Bender	Blah,blah,blah,blah,blah,blah,blah,blah,blah,blah,blah,blah
Fry	Cool,it's,just,like,good,old,days
Mugger	wallet,I'll,cut
Fry	Hey,Leela,picture,mugged
Mugger	I'll,camera
Bender	Learning,fun
Leela	Ooh,ancient,Wall,Street
Stockbroker #1	
Stockbroker #2	I'm,ruined
Tour Guide	direct,attention,ancient,mysterious,tablet,deciphered
Leela	know,means
Fry	Yeah,asked,cop,means,kid
Bender	gotta,say,I'm,really,enjoying,day,people,Hey,suicide,booth,long,suckers
Fry	Uh,sorry,Bender,that's,just,phone,booth
Bender	Oh
Leela	used
Fry	New,York,Bathrooms
Leela	Oh,I,I'll,sec
Leela	does,work
Fry	I'll,Whup
Bender	Oh,it's,turnstile
Leela	What's,bathroom
Fry	it's,mobile,apartment,rent
Bender	C'mon,Fry
Leela	Wow,burial,chamber,20th,century's,greatest,spiritual,leader,Al,Sharpton
Bender	Ooh,guy,taste
Leela	says,mummified,ceremonial,vestments
Fry	called,jogging,suit
Narrator	traffic,jams,Old,New,York,public,forum,free,interchange,opinions
Motorist #1	crap,brains
Motorist #2	home,bastard,man
Motorist #3	Bug
Narrator	powered,tank,burning,fossils,20th,century,assembly,line,cars,constructed,primitive,robots
Robots	Ooga,Ooga,Ooga,Ooga,Ooga,Ooga
Bender	We've,come,long,way,baby
Narrator	stately,1992,Latoura
Fry	Hey,girlfriend,Actually,wasn't,dad's,Actually,wasn't,girlfriend,just,lived,door,closed,curtains
Leela	Fry,remember,told,ending,stories,sentence,earlier
Fry	C'mon,let's,sneak,closer,look
Man	Sir,don't,touch,antiques,sir,You,Oh,I'm,sorry,work,realised,ridiculous,getup,you're,wearing
Fry	Hey,Miller's,Outpo,Uh,mean,yeah,work,alright
Man	rust,bucket,outside,Saint,Koch's,Cathedral
Leela	Did,drive,20th,century,Fry
Fry	Nope,Nice,Listen,baby,purr
Bender	There's,baby,huh
Fry	It's,just,like,riding,bicyc,
Bender	think,got,whiplash
Leela	can't,whiplash,don't,neck
Bender	meant,ass,whiplash
Fry	I'm,just,glad,hit,thought,we'd,stop
Bending Unit	Ow,think,got,whiplash
Fry	How's,robot,ran
Farnsworth	did
Fry	mean,he's,
Farnsworth	Good,new,Yes
Farnsworth	Leela,Zoidberg,rest,Flexo
Hermes	Sweet,llamas,Bahamas,stylish,beard,looks,just,like,Bender
Flexo	duh,dreadlock,we're,bending,units
Bender	Hey,brobot,what's,serial,number
Flexo	3370318
Bender	way,Mine's,2716057
Fry	don't
Bender	We're,expressible,sum,cubes
Fry	uh,Flexo,Sorry,crushing,body,like,OK
Flexo	don't,feel,bad,look,Nah,you're,great
Fry	just,let,know,there's,make
Flexo	Actually,little,stunt,did,number,mind,rubbin'
Fry	Uh,sure
Flexo	Aw,yeah,that's,Little,lower
Fry	How's
Flexo	Lower,Yeah,that's,gettin',little,lower
Fry	Uh,can't,lower
Flexo	I'll,say,you're,rubbing,ass
Robot #1	Hey,check,beautiful,devices,know,like,they'll,tolerance,micron
Robot #2	Yeah,Spin,fans,baby
Robot #3	Alright,mama
Robot #4	Gyrate,baby
Fry	don't,like,place,It's,120,degrees,there's,little,oxygen
Bender	Shut,hoot,Hubba,hubba,built,Mexico,believe
Flexo	ain't,silicon,it's,tungsten,plenty
Fry	Uh,yeah,Look,exhaust,fan
Flexo	Ew
Bender	Pervert
Flexo	Yoo,hoo
Stripperbot	Thanks,moderate,spender,select,erotic,transaction
Flexo	Yeah,'bout,lap,dance,pal
Fry	Uh,no,that's,alright,Ow,Ow,Ow,Ow
Fry	I'm,telling,there's,Flexo,don't,like
Flexo	Hey,Fry,think,fast,It's,chlorine
Zoidberg	It's,funny,it's,poisonous
Fry	Yeah,laughing,brine,shrimp,he's,bad,news,regret,running
Hermes	rage,dump,man,He's,worse,Bender
Fry	He's,worse,drinks,smokes,posts,naked,pictures,Internet
Amy	That's,Bender,alright
Fry	I'm,talking,Flexo
Leela	Oh,cute,You're,jealous,Bender's,new,friend
Fry	I'm,Mark,words,Flexo's,evil,He's,evil,Bender
Hermes	Rage,dump
Farnsworth	Good,news,Report,bedroom,private,exhibition
Farnsworth	bed,Feast,eyes
Leela	It's,beautiful
Amy	huge
Fry	touch
Zoidberg	
Farnsworth	It's,single,atom,jumbonium,element,rare,nucleus,worth,$50000
Bender	
Farnsworth	100000,That's,hid,mattress
Leela	Uh,Professor,discuss
Farnsworth	certainly
Farnsworth	atom,sits,atop,dimestore,tiara,awarded,winner,year's,Miss,Universe,pageant,planet,Tova,9,job,deliver,safe,sound
Amy	Wow,little,girl,Mars,dreamed,Miss,Universe
Leela	That's,kinda,pathetic
Amy	Aw,come,Leela,Deep,girls,wanna,Miss,Universe
Leela	
Amy	Really,Maybe,it's,just,cute,girls
Farnsworth	atoms,tremendous,value,Planet,Express,bankrupt,stolen,we'll,need,hire,additional,security,mission
Flexo	Oh,oh,oh,oh,Mr,Professor,right
Fry	Uh,maybe,stick,people,know,trust,mean,Flexo's,great,but,
Farnsworth	Flexo's,great,say,that's,good,Welcome,aboard,lad
Leela	Space,bandidos,operating,quadrant,you'll,8,hour,shifts,guarding,safe,Bender,Flexo,Fry
Fry	Wait,hold,don't,like,sound,Let's,just,alphabetically
Leela	OK,Bender,Flexo,Fry
Fry	Wait,let's,rank
Leela	OK,Bender,Flexo,Fry
Fry	Flexo,outranks
Flexo	That's,Flexo,outranks,sir
Bender	Halt,goes
Fry	Don't,point
Bender	Fry
Fry	Look,know,Flexo's,friend,don't,trust,atom
Bender	God,Fry,Just,'cause,guy's,got,beard,label,evil,got,label,pal,ugly,little,word,called,prejudice
Fry	I'm,prejudiced
Bender	Ah,save,cross,burning,Adolf
Flexo	Keeping,eye,safe
Bender	know
Flexo	looks,like,it's,shift,lie,offline
Bender	Alright
Fry	Caught,saw,looking,atom
Flexo	look,lots,atoms,Shouldn't,resting,shift
Fry	Oh,ho,you'd,like,went,sleep,wouldn't
Flexo	takes,shut,yapper,Nah,I'm,just,kidding,you're,joker
Fry	Yeah,here's,funny,joke,I'm,gonna,sit,right,till,it's,shift
Flexo	Suit,skinbag
Fry	
Flexo	Good
Fry	Good
Flexo	Good
Fry	Good
Flexo	Good
Fry	Good,Good
Fry	that's,hours
Flexo	Yeah,hours,solid,boredom,Nah,I'm,kidding,you're,wonderful,man
Fry	Finally,atom,safe
Leela	God,Did,hear,maracas
Fry	
Leela	wasn't,space,bandidos,Bender,lock,ship,Don't,let,Flexo,escape
Bender	Aye,aye,Captain,appears,Flexo,outwitted,Especially,Bender
Leela	Flexo,stolen,atom
Fry	used,sleep,ray,Sleep,rays,exist,future,right
Leela	
Fry	Oh,must've,fallen,asleep
Leela	sure,right,Flexo,evil
Bender	locked,exits,gotten,away
Leela	OK,thanks,Bender,Let's,fan,look
Bender	Roger,got,map,ship,right
Leela	eye,Fry,can't,rule,possibility,did
Leela	Aha
Fry	Aha,Uh,searching,hmm
Leela	Fry,looking,Flexo,underpants,drawer
Fry	didn't,10,minutes,ago,thought,time,check
Bender	wasn't,uh,kitchen,room
Fry	Say,Bender,hold,map,second
Bender	leave,high,dry,case,scavenger,hunt,think
Fry	
Bender	Alright,Sheesh
Leela	looks,like,Flexo,got,away,clean
Bender	It's,darn,shame
Leela	jumped,ship,atom,second,landed
Fry	maybe,left,Wait,minute,You're,Bender
Bender	course,said,wasn't
Fry	wearing,scarf,turtleneck,fruity,number
Bender	It's,little,thing,called,style,Look
Barker	ninth,finalist,Miss,Methane,Planet,Halatina,Smogmeyer,tenth,final,finalist,Miss,Earth's,Moon,Crushinator
Crushinator	Thank,Bob,Barker,I'm,happy,girl,End,statement
Barker	lovely,womanoids,home,atomic,tiara
Leela	Downplay,tiara
Barker	Uh,we'll,subliminal,messages
Barker	lost,atom,huh,You're,garbage,human,garbage,brain,dead,space,jockeys,idea,thing,worth
Fry	100000
Leela	200000
Bender	200001
Barker	You're,closest,going
Fry	uh,we'll,leaving,you'll,just,sign,form,saying,received,atom
Barker	I'm,signing,squat,damn,tiara,pageant,ends
Leela	Mr,Barker,
Barker	fur,industry,won't,stop,skinning,alive,long,wears,skin
Leela	gentlemen,appears,we're,boned
Fry	Flexo
Leela	
Barker	generously,called,Talent,Competition,performing,traditional,gangsta,rap,Miss,the,
Bender	Gotcha
Women	Fight,Fight,Fight,Fight,Fight
Bender	Shoot,he's,choking
Flexo	shoot,he's,choking
Leela	don't,know,shoot
Fry	Flexo,Shoot,Flexo
Amazonian	Women,only,room
Leela	Alright,There's,atom
Bender	Aw,jeez
Fry	Bender,stole,atom
Bender	Yeah,explain,it's,valuable
Flexo	saw,snatch,Fry,asleep,That's,ran,tell,Bob,Barker
Fry	Whoa,whoa,wait,second,mean,Bender,evil,Bender,shocked,Shocked,shocked
Leela	I'm,sorry,suspected,Flexo,It's,just,beard,all,
Flexo	Don't,bother,people,sicken,life,line,guard,atom,repay,rot,care,Nah,I'm,just,kidding,guys,alright
Fry	I'm,confused,Bender,liked,turn,evil,Bender,hated,good,live,life,can't,tell,good,evil
Bender	Eh,they're,fine,choices,floats,boat
URL	guy
Barker	Huh,Oh,yeah,looks,like
Flexo	Wait,I,
Barker	away
Barker	Alright,let's,end,pathetic,hoedown,Brannigan,read,thing
Zapp	winner
Leela	figures,Zapp,Brannigan,judging,chauvinistic,degrading,dehumanising,
Zapp	Huh,Leela
Leela	Wait,you're,making,a,feel,like,princess
Zapp	Wait,people,Idiots,I'm,going,mano,mano,envelope,Miss,Universe,looking,weird
Leela	tiara
Bender	
Fry	guys,losers,just,radiator,woman,radiator,planet
Leela	Fry,that's,radiator
Fry	Oh,burn,ward,10,feet
