2	16	Anthology of Interest I	2	20	20000521	29
Dial L Leela	Ken,Keeler
Farnsworth	Good,news,I've,invented,device,allows,operate,equipment,great,distances,fing,longer
Fry	Ooh
Amy	Wow
Zoidberg	Ah
Farnsworth	Pretty,long,eh
Fry	Yeah,it's,really,long,did,just,turn
Farnsworth	Oh,that's,just,What,If,machine,invented,pose,What,If,question,generates,video,simulation,happen
Fry	Does,really,work
Farnsworth	course,works,It's,just,long
Bender	Ooh,Ooh,robot,living,humans,I've,really,felt,accepted,parties,nude,beaches,I've,secretly,wondered,500,feet,tall
Zoidberg	Let's,watch,shall
Bender	work
Fry	I'm,lonely,came,future
Bender	I'm,big,robot,want,big,cereal
Fry	you,friend
Bender	pal,meant,wallet
Bender	Oh,yeah,calms,shakes,Aw,quit,Come
Fry	Stop,robot's,enemy,He's,just,poor,misunderstood,,
Zapp	Uh
Amy	goes,neighbourhood,goes,neighbourhood
Hermes	We're,jerked,stop,monster,big
Farnsworth	equally,big,monster,chance,try,experimental,enlarging,ray,we'll,need,guinea,pig
Zoidberg	What's,meals,week
Farnsworth	Gotcha
Hermes	Oh,yes
Zoidberg	Friends,Help,guinea,pig,tricked
Zoidberg	Zoidberg,big,huh,That's,like,Who's,intimidating,big,city,Ah,famed,Apollo,Theater,Boo,stage,open,mic,night,huh,I'll
Bender	Hey,called,city,Quit,touching,stuff
Zoidberg	Tell,claw
Bender	Bite,colossal,metal,ass
Zoidberg	Stop
Bender	wants,lobster,bisque
Zoidberg	Hmm
Fry	Hey,Bender
Bender	Huh
Fry	Wanna,make,Shrinky,Dinks
Bender	
Fry	people,satisfied,gentle,visitor,dying,we'll,know,came
Bender	I'll,tell,final,breath
Fry	Goodnight,sweet,prince
Narrator	Interesting,stuff,Stay,tuned,Tales
Farnsworth	Leela,care,What,If,machine,whirl
Leela	Maybe,later,I,I,mean,don't,know,ask
Hermes	Come,woman,Just,pick
Fry	Yeah,impulsive,Like
Bender	man
Leela	really,impulsive,just,takes
Leela	Hey,guys,look,bought,wild,impulse,New,boots,They're,like,old,ones,crazy,green,stripe,Woo,know,I'm,gonna
Farnsworth	Leela,come,moment,important,tell
Farnsworth	can't,live,forever,need,heir,spend,vast,riches,care,man,eating,anteaters,I'm,gone,simply,aren't,level,headed,They're,impulsive,like,like,old,predictable,dull,as,dishwater,Leela
Leela	Hello,New,boots
Farnsworth	That's,I've,sole,heir,day,die,you'll,wealthy,woman,Oh,yes,Incredibly,wealthy,day,die,you're,unimpulsive
Leela	Yah
Farnsworth	Oh,you've,killed,You've,killed
Leela	Oh,God
Farnsworth	just,told,you've,killed
Leela	OK,just,try,nonchalant
Zoidberg	Alright,you're,nonchalant,Quit,rubbing,noses
Hermes	Sweet,giant,anteater,Saint,Anita,Professor's,eaten,giant,anteaters
Zoidberg	
Hermes	y'ask,it's,mighty,suspicious,I'm,gonna,police,right,flush,things
Zoidberg	Police,Bah,Nosy,meddlers,happens,mail,order,degrees,Murderology,Murderonomy,Zoidberg,afoot
Hermes	Professor's,files,clear,things,sole,heir
Leela	doesn't,prove,killed
Hermes	It's,video,shows,killing
Leela	Hi,yah
Zoidberg	Alright,anteater,number,protecting,spell
Hermes	hacking,torso,precious,torso
Zoidberg	Hermes,quiet,I'm,deducing,things
Bender	Whattya,got,Disposal,trouble
Leela	Everything's,just,,
Bender	Sure,shocking,Professor,huh,Hermes,mysteriously,missing,doesn't,affect,Bender,Hey,what's,Hermes',dreadlocks,arm,Leela,I'm,shocked,Food,goes,disposal,hair,flesh,trash
Leela	I'm,sorry,couldn't,stop,,,W,Wait,Don't,care,murdered,Hermes
Bender	little,There's,wrong,murder,just,long,let,Bender,wet,beak
Leela	You're,blackmailing
Bender	Blackmail,ugly,word,prefer,extortion,X,makes,sound,cool,honey,I'm,metal,Like,you're,really,gonna,hurt,a,,,Hey,doing,microwave
Leela	OK,that's,killing,time,feel,like,killing,just,stick,gum,dispose,body
Amy	Wow,Sporty,go,cart,Leela,hip,sexy,like
Leela	gum
Amy	
Zoidberg	Ah,gang's
Leela	
Scruffy	Scruffy,janitor
Leela	I've,seen
Scruffy	I've,seen
Zoidberg	Quiet,I've,called,parlour,watch,gradually,solve,crime,people,room,big,murderer,killer,left,fatal,clue,boot,print,Professor's,lab,coat
Leela	Uh,couldn't,wear,boots
Fry	Ew,smells,like,boot,feet
Cubert	preposterous,Obviously,murderer,is,,
Zoidberg	clue,came,415,clock,stopped,came,hours,later,415,discovered,murdered,body,Amy's,dead,deceased,corpse
