2	1	I Second that Emotion	2	5	19991121	14
Announcer	Glagnar's,Human,Rinds,It's,buncha,muncha,cruncha,human
Leela	Aww,Somebody,likes,snouts
Fry	
Bender	Stupid,opener,killed,father,you've,come
Fry	alright,Bender
Bender	Yeah,guess,don't,ticking,time,bomb,just,dumb,animal
Leela	Don't,yell,Nibbler,like,hurt,feelings,Come,pet,make
Bender	
Leela	said,pet
Bender	I'll,pet,I'll,pet,hands,Ow,ass
Leela	alright
Bender	Ah,it's,lawsuit,won't,cure
Leela	Aww,poor,baby,chipped,fang
Bender	Hey,got,busted,ass,don't,kissing
Zoidberg	Alright,I'm,coming
Jeffery	Remember,Rover,gets,pill,Pepper,gets,suppository
Jeffery	It's,just,simple,broken,fang
Bender	What's,say,doctor,You're,gonna
Jeffery	No,Huh
Bender	Terrible,shame,Shall,honours
Leela	
Bender	
Leela	time,I'm,keeping
Jeffery	OK,believe,replacement,fang,pet,room
Fry	Hey,rings,Nibbler's,fang
Jeffery	Um,I'm,little,woozy,gazelle,kick,morning,he's,like,common,tree,rings,indicate,age
Fry	Yeah,good,luck,It'd,kind,genius,count,rings
Jeffery	He's
Farnsworth	Happy,birthday,young,Nibbler
Leela	Aww,look,cuddly,looks,new,cape
Bender	I'd,cuddly,gave,new,cape
Fry	Who's,playing,pin,tail,moon,maggot
Bender	Ooh,watch,good,crowd,goes,wild,prize,Cash
Amy	Hey,look,Nibbler
Hermes	Aww,he's,holding,spoon
Zoidberg	He's,talented
Bender	talent,Gather,round,old,Bender,ready,lifetime,Ta,da
Hermes	he's,wearing,hat
Leela	Come,let's,sing,Happy,Birthday
All	day,today
Fry	smell,like
Bender	Hey
Leela	Bender,thought,supposed,cooking,party
Bender	Fine,we'll,rack,Nibbler
Leela	Just,make,simple,cake,time,someone's,going,jump,make,sure,you,cook
Bender	it's,cake,want,I'll,make,cake,you'll,forget
Bender	That'll,care,annoying,rats,bake,cake,delicious,they'll,choice,love,worship
Bender	This'll,teach,filthy,bastards,who's,lovable,spell,check,it's,ready,admiring,public,That's
Bender	Happy,birthday
Leela	Bender,what's,going,,
Bender	Hey,Can't,I'm,using,toilet
Amy	Bender,flush,Nibbler,toilet
Bender	step,lift,seat,little,annoyance,right,men
Leela	Aren't,upset,feel,flushed,Fry,toilet
Bender	way
Leela	sympathy,else's,feelings
Bender	course,Right,feel,sorry
Leela	
Bender	Yeah,mean,cantaloupe,sized,bloodshot,eye,ain't,winning,beauty,pageants,lady
Farnsworth	say,goodbye,beloved,pet,Nibbler,who's,gone,place,hope,day,toilet
Leela	wouldn't,feel,bad,Bender,just,understood,pain,caused
Calculon	straight,doctor,don't,sugarcoat
Doctorbot	entire,family,died,plane,piloted,fiance,crashed,uninsured,home,inoperable,cancer
Bender	Bet,weren't,expecting,Calculon
Amy	It's,like,doesn't,understand,simple,humanoid,emotion
Leela	wish,just,Bender,feel,exactly,feel
Farnsworth	Actually,miracle,science,arranged
Fry	Uh,oh,gonna,crazy,experiment,crosses,line,Man,meant,cross
Linda	official,death,toll,tragic,rocket,crash,raised,54000
Bender	Hey,hell,doing,head
Farnsworth	need,tinker
Bender	don't,just,use,potted,plant,like,Fry
Farnsworth	Quiet,I'm,installing,empathy,chip
Fry	that'll,allow,Bender,feel,people's,emotions
Farnsworth	Yes,allow,mean,force
Bender	Ooh,Ow,Son,a,,,Careful,Ow
Farnsworth	Oh,dear,Oh,got
Bender	Ow,Professor
Farnsworth	Steady
Bender	Ow
Farnsworth	I'll,simply,tune,Leela's,emotional,frequency
Bender	God,I'm,overcome,feelings,I'm,experiencing,powerful,yearning,cram,gullet,mackerel,heads
Zoidberg	That's,baby
