2	3	A Head in the Polls	2	7	19991212	16
Narrator	request,enclosed,man,earth
Man	Hey,look,weird,mirror
Bender	Cursed,hubris
Leela	There's,political,debate,Quick,change,channel
Bender	Hey,that's,Fry,said,turned,debate
Announcer	C,SPAN9,presents,Thrill,Politics
Leela	Look,know,car,chases,important,men,president,world
Fry	care,live,United,States
Leela	United,States,world
Fry	Wow,gone,long,time
Johnson	It's,time,courage,stand,say,I'm,things,everybody,hates
Jackson	respect,opponent,think,he's,good,man,quite,frankly,agree,just,said
Fry	candidates,sound,like,clones,Wait,minute,clones
Leela	Don't,let,identical,DNA,fool,differ,key,issues
Johnson	say,cent,titanium,tax,goes,far
Jackson	say,cent,titanium,tax,doesn't,far
Fry	registered,vote,I'd,send,clowns,message,staying,home,election,day,dressing,like,clown
Leela	You're,registered
Fry	Nope,vaccinated,it's,like,vote,difference
Leela	That's,true,robot,president,won,exactly,vote
Bender	Ah,yes,John,Quincy,Adding,Machine,struck,cord,voters,pledged,killing,spree
Farnsworth	like,politicians,promised,deliver
Leela	point,vote,make,difference,won't,I'm,taking,registered
Farnsworth	Yes,that's,capital,idea,Let's,register
Fry	Professor,did,obsessed,voting
Farnsworth	instant,old
Farnsworth	problem,parties,want,tax,dollars,fortunate
Fry	fortunate,breaks
Zoidberg	know,Fry,join,party,maybe
Amy	weirdos,mutants,join,parties
Zoidberg	Really,I'd,better,eye,meeting
Fry	party,belong,Bender
Bender	I'm,allowed,vote
Fry	'Cause,you're,robot
Bender	convicted,felon
Woman	favour,unreasonably,huge,subsidies,Brain,Slug,Planet
Fry	OK,Brain,Slugs,control,gonna,working,man
Woman	Attach,Brain,Slugs
Fry	Sure,say
Amy	true,make,kinds,shirts,ropes,hemp
Stoned Guy	Dave's,man
Amy	heard,hemp,makes,great,shampoo
Stoned Guy	does,way,gotta,check,brochure
Farnsworth	doing,protect,constitutional,right,bear,doomsday,devices
NRA Man	we're,gonna,rid,three,day,waiting,period,mad,scientists
Farnsworth	Damn,straight,Today,mad,scientist,can't,doomsday,device,tomorrow,it's,mad,grad,student,end
NRA Man	Amen,brother,don't,mutated,anthrax,duck,hunting
Zoidberg	Sure,humans,cute,supposed,test,cosmetics
Hermes	concur
Fry	here's,party,excited,Sign
VAP Man	Sorry,attitude
Fry	OK,screw
VAP Man	Welcome,aboard,brother
Fry	Alright
VAP Man	You're
Fry	pretty,cool,think,I'm,actually,starting,interested,politics
Linda	weeks,left,campaign,question,everyone's,mind,President,Earth,Jack,Johnson,bitter,rival,John,Jackson,terrific,candidates,huh,Morbo
Morbo	humans,vermin,eyes,Morbo
Linda	local,news,disaster,struck,Saturn's,moon,Titan,today,titanium,collapsed,trapping,1000,robot,workers
Bender	Lord,mercy
Linda	Sir,rescue,operations,planned
Mine Spokesman	plan,basically,pave,area,lives
Morbo	News,mines,closing,sent,titanium,prices,skyrocketing
Bender	Alright,I'm,rich
Leela	talking
Bender	body's,40%,titanium,I'm,finally,richer,snooty,ATM,machines
Fry	bad,can't,spend
Bender	Oh,can't
Fry	
Bender	Watch,poor,man
Pawnbroker	Pleasure,doing,business
Bender	Game's,losers,money,Compare,lives,kill,just,lost,dollars
Bender	Hey,buddy,Little,help,Thank
Bender	Hello,peasants
Leela	Bender,happened
Fry	Yeah,look,different,Did,haircut
Bender	sold,body
Farnsworth	Sold,body,Oh,Bender,I've,road,know,it's,glamorous,parties,great,you'll,end,spending,dollar,make,jewellery,skintight,pants
Fry	crazy,Bender,gonna,live,body
Bender	Pft,Bodies,hookers,fat,people,need,wad,cash,head,wrapped
Fry	pay,loan,shark
Bender	Yeah,right,What's,gonna,break,legs
Bender	Ah,life,martini
Bender	Shaken,stirred,Aw,yeah
Bender	black
Croupier	21,red,beg,pardon,33,black
Bender	Yes,rich,richer
Bender	Strike,face,Leela,Ow
Bender	Timber
Fry	Hey,Bender,ride,car
Bender	Maybe,clean,looks,like,neck,stepped,Oh,I'm,sorry,that's,just,body
Fry	Hey,look,shins,say
Bender	I've,place,I'm,Head,Museum,hang,classy,heads,like,appreciate,finer,things,poetry,philosophy,hats,long,coffin,stuffers,Uh,coffin,stuffers,carry
Bender	group,heads,good,hang,think,Fry,Fry
Schiffer	Hi,I'm,Claudia,Schiffer's,head
Fry	recognise,Didn't,use,body,sort
Schiffer	Yeah,holding,know,just,did,cover,Sports,Illustrated,Swimcap,Issue
Fry	you're,looking,great
Schiffer	Thanks,wouldn't,mind,losing,pounds
Fry	Couldn't,hurt
Bender	Ah,presidents,place,class
Clinton	Hey,sugar,cookie,know,legally,counts,sex,anymore
Ford	apologise,rudeness,ma'am,gets,way,meaty,looking,women
Fry	Hey,remember,gonna,vote,time,voting,isn't,cool,stayed,home,got,trashed,Listerine
Ford	Frankly,I've,felt,voting,essential,process
Nixon	kidding,Ford
Bender	hookerbot,says,That's,expansion,slot,friend,says,That's,gold,plated,25,pin,connector
Washington	Oh,Bender,Thou,robots,really,cracketh
Bender	know,like,What's,rent,jars
George HW Bush	Sorry,Bender,just,can't,allow,Tom,Dick,Harry,offence,Jefferson,Nixon,Truman
Carter	Maybe,Mr,Bender,spot,closet,presidential,losers
Dole	Bob,Dole,needs,company,LaRouche,won't,stop,knock,knock,jokes
Bender	Pass
Washington	telleth,Bender,hath,happened,body
Bender	hocked
Washington	Hocked,wouldst,thou
Bender	reason,hocked,teeth
Washington	Ah,Booze,money
Nixon	remember,body,flabby,pastey,skinned,riddled,phlebitis,good,Republican,body,God,loved
Fry	hear,spent,teen,years,loving,body,Course,tough,love,but,Ooh
Leela	Fry,opened,relations,China,doesn't,want,hear,ding,dong
Bender	Nixon,miss,body,head's,great,right
Nixon	son,It's,sad,lonely,life
Bender	Oh,great,tell
Nixon	That's,style,like,kick,'em,they're
Bender	Ones,zeros,one,zero,zero,one,
Fry	Bender
Bender	Whoa,awful,dream,Ones,zeros,thought,saw
Fry	just,dream,Bender,There's,thing
Bender	know,body,loved,turned,it's,old,friend,tie,yellow,ribbon,round,neck,'cause,I'm,a,comin',home
Bender	sold,body
Pawnbroker	can't,reveal,information,look,like,nice,robot,Tell,I'll,50,bucks,kid
Fry	Hey,clothes,worth,50,bucks
Pawnbroker	Deal
Bender	Oh,let,happen,can't,rest,life,like
Farnsworth	Don't,self,destruct,button
Bender	Yeah,it's,body,gonna
Fry	Ah,can't,stand,robot,Let's,watch,TV
Nixon	ladies,gentlemen,I'm,throwing,head,ring,I'm,announcing,candidacy,presidency,Earth
Journalist #1	Just,question
Scoop Chang	Scoop,Chang,Beijing,Bugle,Sir,constitution,clearly,states,elected,president,twice
Nixon	That's,right,plainly,I've,got,shiny,new,body
Bender	Oh
Leela	Bender,he's,got,body
Bender	dirty,double,crossing,bastard,dare,run,Richard,Nixon
Leela	Nixon,bought,body,pawn,shop
Fry	Yeah,electric,guitar
Nixon	Remember,dormouse,said
Bender	Yeah,you,stole,body,Fry,Leela,gotta,help
Leela	Ordinarily,I'd,say,lecture,fault,idiot,robotic,Nixon,loose,duty,action,Idiot
Morbo	Morbo,introduce,tonight's,candidates,Puny,Human,#1,Puny,Human,#2,Morbo's,good,friend,Richard,Nixon
Nixon	Hello,Morbo,How's,family
Morbo	Belligerent,numerous
Nixon	Good,man,Nixon's,pro,war,pro,family
Bender	Great,steals,body,he's,touching,stuff
Leela	Come,We've,gotta,way,talk
Morbo	Morbo,demands,answer,following,question,saw,delicious,candy,hands,small,child,seize,consume
Johnson	Unthinkable
Jackson	wouldn't,think
Morbo	Mr,Nixon,remind,you,truth,o,scope
Nixon	Uh,uh,question,is,is,vague,don't,say,kind,candy,watching,uh,rate,certainly,wouldn't,harm,child
Campaign Manager	scored,big,points,tonight,sir
Nixon	talking,ate,alive
Campaign Manager	Yes,body,stayed,message,message,Look,shiny,new,body,robots,ate,You've,got,real,charisma,neck
Nixon	Nixon,charisma,God,rule,universe
Bender	body,two,bit,thief
Nixon	look,drugged,out,Communist,paid,body,I'd,sooner,return,little,cocker,spaniel,dog,Checkers,Shut,damnit
Fry	Mr,Nixon,We're,appealing,sense,decency
Bender	good
Nixon	Seriously,I'm,giving,body,beat,Cambodian,asses
Bender	It's,hopeless,turn,head,cent,deposit
Fry	way,I'm,letting,best,friend,recycled,cents,cents,Leela,I've,got,plan
Leela	I've,got,better,plan
Fry	Nixon,stay,Watergate
Leela	discount,you've
Fry	going,we're,right
Bender	Whoa,mama,room
Man	We're,room
Bender	lose,weight
Nixon	Aroo
Nixon	Oh,yeah,women's,libbers,really,know,party
Bender	Psst
Nixon	Hey,Betty,Friedan,send,little,lotion,way
Leela	OK,got,Steady,Steady,Don't,panic
Fry	Ooh,Uh,oh
Nixon	the,shaggy,peaceniks,nerve
Bender	I'm,just,what's,Don't,make,kick,neck
Nixon	Bring,soup
Leela	Alright,break
Nixon	That's,You're,going,jail,don't,expect,grant,pardon,like,sissy,Ford
Leela	You'll,pardon,anybody,you'll,elected,president,voters,Earth,aren't,pea,brained,idiots,time
Nixon	Oh,listen,missy,Computers,twice,fast,1973,average,voter,drunk,stupid,who's,changed,I've,bitter,let's,face,crazy,years,I'm,swept,office,I'll,sell,children's,organs,zoos,meat,I'll,people's,houses,night,wreck,place
Fry	lost,vote
Nixon	Like,vote,difference,you'll,excuse,I'm,going,inch,myself,phone,police
Bender	fast,Nixon,familiar,audio,tape
Nixon	Uh,oh,don't,like,heading
Nixon	I'll,people's,houses,night,wreck,place
Nixon	God,really,sound,like,thought,voice,Clark,Gable,quality
Leela	jig's,Nixon,We'll,trade,tape,body
Nixon	Oh,expletive,deleted,You've,got,deal
Fry	Hey,I've,got,thought
Bender	Ah,it's,good,piece,can't,damn,bumper,stickers
Linda	sheer,drama,election,driven,voter,turnout,highest,level,centuries,6%
Morbo	Exit,polls,evil,underdog,Richard,Nixon,trailing,estimated,zero,votes
Leela	Yes,works
