2	4	Xmas Story	2	8	19991219	17
Announcer	Ladies,gentlemen,Conan,O'Brien's,head
O'Brien	Thank,thank,Let's,started,Max,play,people,getting,pretty,worried,Y2K,problem,huh
Bender	fixed,900,years,ago
O'Brien	Just,bear,sir,I'm,walking,work,morning,
Bender	doubt
O'Brien	Listen,pal,lost,freakishly,long,legs,war,2012,I've,got,you'll,soul
Bender	Eh
O'Brien	freckles,I'm,material,catch,week,Andromeda,Chuckle,Hut,Enjoy,breakfast
Bender	Ah,lets,face,Comedy's,dead,art,form,tragedy,That's,funny
Farnsworth	Come,skiing,help,forget,mouldy,old,antics,Conan,O'Brien
Amy	Yeah
Leela	Great,idea
Zoidberg	hope
Fry	snow,beautiful,I'm,glad,global,warming,happened
Leela	Actually,did,thank,God,nuclear,winter,cancelled
Fry	Hi
Bender	mindless,chitchat,let's,going
Hermes	Jah,damnit,We're,stuck
Zoidberg	you're,cold,blooded
Hermes	Sweet,lion,Zion,Look,Professor
Fry	Look,We're,heading,straight,trees
Leela	Yeah,yeah,relax,Trees
Trees	Trees
Fry	Cool,Hey,you,want,trees
Trees	Trees
Fry	Trees
Trees	Trees
Bender	Lookin',good,meatball
Man #1	Excuse,sir,you're,snowboarding,trail
Bender	Lick,frozen,metal,ass,Uh,oh
Child	Mommy
Zoidberg	bobsledder,I'd,like
Hermes	Listen,filthy,crab,thousand,years,ago,legendary,team,Jamaican,bobsledders
Fry	Yup,remember,came,Olympics,retired,promote,alcoholic,beverages
Hermes	true,inspiration,children,Nooo
Fry	Oh,hell,Ow
Amy	poor,man,happened
Man #2	triple,diamond,slope,suddenly,
Amy	Oh,excuse,Hello
Farnsworth	Wha
Bender	Ah,like,warm,Super,Soaker,fine,cognac
Fry	Yeah,really,puts,Christmas,spirit
Farnsworth	What,mas
Fry	Christmas,know,X,M,A,S
Leela	Oh,mean,Xmas,using,archaic,pronunciation,Like,say,ask,instead,aks
Fry	Xmas,huh,Y'know,this'll,Xmas,away,home
Leela	Hey,hey,Let,aks,cheer,went,cut,Xmas,tree
Fry	Yeah,old,fashioned,Xmas,tree
Fry	Hey,aren't,Xmas,trees
Farnsworth	Eh,wha
Fry	They're,supposed,kinda,know,pine,tree
Farnsworth	Pine,trees,extinct,800,years,Fry,Gone,way,poodle,primitive,notions,modesty,Ah,Brisk
Fry	isn't,way,Christmas,supposed
Farnsworth	there
Fry	Everything's,changed
Leela	That's,true
Bender	Xmas,tree,oh,Xmas,tree,Bah,boo,bee,boo,bah,bee,boh
Amy	Ow
Fry	Christmas,mom,fresh,goose,goose,burgers,dad,whip,special,eggnog,bourbon,ice,cubes,dumb,holiday,just,makes,think,things,left,Let's,just,stop,talking,Xmas
Hermes	Happy,Xmas,Xmas,people,Xmas,cards,arrived,Xmas,Amy,Fry,Professor,Zoidberg,mighty,haul,Bender
Bender	Yes,got,win,Xmas
Hermes	sweet,flower,office,Hermes,Conrad
Bender	Hmm,Ah,picture,mommy
Zoidberg	Huh,What's,Instead,Claus,writes,Claws,that's,humorous,Today's,comedians,learn,card
Fry	What's,point,Xmas,know,died,thousand,years,ago,I'm,loneliest,person,Earth,Yoiks
Amy	Fluh,She's,orphan
Farnsworth	Yes,species,known,universe,lonely,life
Fry	God,Poor,Leela
Bender	Oh,man,gotta,work,act
Fry	feel,like,rat,whining,like,pig,Leela,lonely,frog,kick,myself
Amy	I'll
Fry	Ow,Thanks
Farnsworth	ashamed,Fry,You'd,blind,notice,Leela's,cyclops
Hermes	Fry's,man
Farnsworth	Oh
Bender	Xmas,Eve,pointless,day,accomplish
Linda	holiday,season,time,celebration,time,remember,tragic,suffering,fortunate
Morbo	Earthlings,know,meaning,suffering
Linda	Homeless,robots,poor,afford,basic,alcohol,need,fuel,circuits,sadder,drowning,puppies,lot
Amy	going,Bender
Bender	volunteer,liquor,kitchen,homeless,robots
Hermes	Yeah,right,did,charitable
Bender	I'm,generous,time,gave,blood
Fry	blood
Bender	guy's
Fry	I've,got,to,Leela,sorry
Zoidberg	what's,problem,Just,claws,apology,dance
Fry	it's,left,left,right,Wait,better,idea,I'll,perfect,Xmas,present,great,she'll,want,unhappy
Hermes	Just,sundown,mon
Fry	We'll,like,haggle
