3	11	Insane in the Mainframe	3	12	20010422	45
Announcer	Thompson's,Teeth,teeth,strong,eat,teeth
Farnsworth	Good,news,Today,marks,dear,friend,Dr,Zoidberg's,10th,year,Planet,Express,Huzzahs,order
Fry	Huzzah
Leela	Huzzah
Amy	Huzzah
Zoidberg	Hooray,Hooray,Zoidberg
Hermes	read,mandatory,speech,Dear,employee,really,10,15,years,disregard,work,Distribute,token,appreciation,applaud
Zoidberg	Look,Coupons,oil,changes,price,afford,car,Ah,years,memories,strange,fluids,gushing,patients',bodies,,
Hermes	Yes,yes,here's,pension,statement,It's,haven't,paid,dumb,stinkbug
Zoidberg	kept,track,years
Fry	Oh,I'm,boned,haven't,paid,pension,What'll,retire
Bender	thought,retired
Fry	Hey,don't,planning,old,age
Bender	got,plans,I'm,gonna,turn,on/off,switch
Fry	I'm,gonna,action,It's,time,check,retirement,fund,Damn,$100
Franklin	penny,saved,penny,earned,athlete's,foot,cream,face
Fry	He's,right,I've,gotta,start,investing,wisely
Fry	I'm,lottery,ticket,Mule,Crud
Bender	got,bucks,left,retire,recommend,Tender,Vittles
Teller	You're,opening,retirement,account,$6,I'm,sure,wealthy,mule,farmer,like,aware,charge,$10,monthly,fee
Fry	gotta,spend,money,make,money
Teller	sir,account,overdrawn,$4
Robot	Gee,I've,seen,lines,faster,sperm,bank
Bender	That's,sure,,,Roberto
Roberto	Bender,Hey,man
Bender	old,lunatic
Roberto	bad,bad,Everybody,floor,stick,up
Bender	Yeah,I'm,doing,OK,I'm,taking,Chinese,cooking,class,Learning,Annex
Roberto	Cool,Ca,Can,hand
Bender	Sure,thing,pal
Roberto	Hey,Red,Quit,watering,plant,door
Bender	nice,talking
Roberto	guys,alright,Here's,trouble
Bender	Hey,thanks,buddy
Smitty	Freeze,punks,You're,arrest
Nixon	Shoot,Quick,they're,looking
Bailiff	Court,session,Honourable,Judge,Whitey,presiding
Whitey	charge,bank,robbery,caddie,chauffeur,informs,bank,place,people,money,isn't,properly,invested,robbing,bank,tantamount,heinous,crimes,theft,money
Hyper Chicken	surveillance,camera,bank,judge,a,jawing,y'all,tell,seen,day,crime
Camera	let's,memory's,little,fuzzy,went,exactly,like
Hyper Chicken	Honour,disbarred,introducing,evidence,clients
Hyper Chicken	Mr,Fry,recognise,robot,a,huggin',hologram
Fry	sure,That's,real,robber,I'll,forget,long,live,is,,
Leela	Fry,Just,don't,wanna,look,stupid,Court,TV
Fry	You're,right,You're,right,was,,
Whitey	Yes,say,testify,I'll,killed,Oh,It's
Roberto	hamburger
Roberto	lungs,long,pal
Fry	refuse,testify,grounds,organs,chopped,patt
Whitey	Ah,67th,Amendment
Hyper Chicken	simple,country,Hyper,Chicken,know,we're,finger,licked,Whattya,say,plead,insanity
Bender	months,insane,asylum,standing,head
Hyper Chicken	start,help,case
Whitey	Counselor,evidence,offer,support,new,plea,insanity
Hyper Chicken	hired,represent
Whitey	Insanity,plea,accepted,Mr,Bender,commit,asylum,criminally,insane,robots,time,deemed,cured
Bender	Yahoo,fails
Whitey	Mr,Fry,sentence,home,criminally,insane,humans
Bailiff	Honour,facility,ruled,poor,mental,illness
Whitey	Order,Order,poor,people,want,hear,people,tend,pores,spa,Just,send,robot,loony,bin,let's
Fry	Ow,head,Ow,feet,Ow,head,Ow,feet
Farnsworth	chin
Fry	Ow,chin
