3	8	That's Lobstertainment!	3	8	20010225	40
Humorbot 50	says,Super,collider,just,met,built,super,collider,Thank,you've,great,audience
Florp	Humorbot,50,ladies,gentlemen,stand,up's,veteran,comedy,traffic,schools,way,Bobcat,Zoidberg
Fry	Alright
Leela	Yeah
Bender	Alright,Zoidberg
Zoidberg	Earth,planet,Earth,enjoy,eating,tasty,clam,planet,clams,enjoy,eating,tasty,Earth,everybody,looking,giant,squid,planet,
Bender	Reload
Zoidberg	parasitic,worms,bore,human's,head,
Woman #1	Ew,gross
Zoidberg	walk,bar,then,Uh,oh,Wait,stop,I've,got
Zoidberg	life,worked,act,hated
Hermes	You're,crazy,penniless,lobster,doctor,combination,comedian
Zoidberg	comedy,valves,Uncle,Harold,big,Hollywood,star,era,silent,holograms
Leela	uncle,Harold,Zoid
Zoidberg	deny
Farnsworth	I've,Harold,Zoid,fan,hips,bone,happens,original,78s
Hermes	You're,right,crabby,He's,hell,lot,funnier
Zoidberg	Maybe,wrote,asked,pointers
Zoidberg	letter,personal,I'm,writing,ink,Dear,Uncle,Zoid,greetings,long,lost,nephew,Norm,Sam,Sadie's,boy,remember
Zoidberg	important,doctor,delivery,company,work,sadly,life,bereft,laughter
Zoid	Oy,isn't,nice,took,time
Woman #2	What's,scribbledy,gook
Zoid	fan,letter,rich,doctor,nephew,just,ticket,flophouse,Dear,Rich,Doctor,Nephew,help,funny,funny,thing,money,form,cashier's,check,come,Hollywood
Zoidberg	Did,hear,I'm,going,Hollywood
Tour Guide	Welcome,Hollywood,warn,there's,refund,discovered,leave,tour,Fox,uses,searchlights,blind,pilots,film,resulting,plane,crashes
Bender	Neat
Tour Guide	Ahead,you'll,home,Mel,Gibson,star,hit,film,Bravehead,fans,Calculon,star,robot,soap,opera,Circuits
Bender	Oh,Bender
Tour Guide	you'll,wanna,close,look,luxurious,Bel,Air,home
Bender	Yes
Calculon	new,hot,water,heater
Bender	I'm,Bender,met,remember
Calculon	Absolutely
Bender	Come,don't,remember,bugging,don't,'Cause,lot,remember,right
Calculon	Look,I'm,programmed,busy,Unless,heat,water,212,degrees,I'm,interested,got,extra,GOTO,10,line,said,don't,need,bender
Bender	Bender,guy,name's,Boiler
Calculon	Nice,work,Boiler
Bender	Thanks,Bender
Zoidberg	That's,I'm,meeting,Uncle,Zoid,lunch,discuss,Hollywood,dreams,time,don't,surprised,I've,eaten
Zoidberg	Uncle,Zoid,you're,looking,young,thrown
Zoid	Rich,nephew,come,uncle,nice,big,meal,still,famous,film,comedian
Zoidberg	rich,respected,doctor,surviving,patients
Zoid	Eating,real,food,restaurant,want,comedian
Zoidberg	It's,lifelong,dream
Zoid	You're,unfunny,untalented,That's,you're,perfect,drama
Zoidberg	Hmm,drama,time,comedy
Zoid	I'm,putting,big,drama,picture,right,speak,script,dynamite,know,wrote,myself,directing,starring,I'll,50,miserable,years,Uh,fame
Zoidberg	Ah,fame,come
Zoid	fame,film,juicy,you,completely,finance,doctor,money
Zoidberg	Uh,OK,invest
Zoid	Oh,not,it's,settled,blockbuster,Hollywood,deal
Waiter	gentlemen
Zoidberg	bread,free
Waiter	Yeah
Zoidberg	We'll,split,order
Bender	What's,Monstro
Fry	promised,he'd,Uncle,Zoid,million,bucks,make,movie
Zoidberg	I've,day,I'm,Hollywood,phoney
Bender	TV's,Calculon,help,I'm,showbiz
Fry	biz
Bender	Long,little,man,Long
Bender	Calculon,hot,water,heater,remiss,didn't,bring,scripts,make,international,film,star
Calculon	course,Tell,project
Zoidberg	It's,movie
Calculon	Interesting,Tell
Bender	scant,$1,million,investment,star
Calculon	
Bender	uh,guarantee,it'll,win,Oscar
Calculon	Oscar,say,festering,rat's,nest,called,television,Let,script,Wait,Harold,Zoid,written,Harold,Zoid
Zoidberg	Written,Xeroxed
Calculon	Good,heavens,chance,work,legendary,Harold,Zoid,He's,great,idols,And,And,say,guarantee,Oscar
Bender	guarantee,want
Calculon	I'll
Zoidberg	Hooray
Bender	Here's,chequebook
Calculon	Ladies,gentlemen,director,legendary,Harold,Zoid
Zoid	Thank,classic,movie,plot,isn't,son,does,want,follow,father's,business,business,President,Earth,son,happens,Vice,President
Bender	plot,makes,perfect,sense,Wink,wink
Zoidberg	Bender,said,wink,wink,loud
Bender	didn't,Raise,middle,finger
Zoid	remember,can't,stress,this,talkie,want,gamut,emotions,actor,scene
Zoidberg	Magnificent,Scene
Zoid	action
Calculon	gilded,pen,Father,Signing,bills,law,dream
Zoid	Cut,Cut,Cut,said,talkie,damnit,You've,got,emote,extras,wave,arms,make,faces,morgue
Zoidberg	Magnificent,Scene,10,95
Zoid	Action,mean,circus,grade,action
Calculon	Sir,President,father
Zoid	Cut,cut,cut,Throw,pie,God's,sake
Calculon	Nooo
Zoid	Cut,cut,Eck,Look,look,it's,alright,kid,We'll,uh,we'll,editing,Alright,that's,wrap,everybody,I'm,gonna,premiere,way
Zoidberg	editing,long,expensive,process,spent,money,pies,it'll,ready,Friday
Bender	Nice,turnout,Calculon,Oscar's,practically,mantel
Calculon	just,pray,like,half
Calculon	Thank,Lieutenant,Smith
Zoidberg	Good,morning,Mr,Vice,President
Fry	Leela,we're,missing,premiere,goal,life,attend,Hollywood,shindig,Just,pay,valet,bucks
Leela	It's,principle,thing,think,parking,lot,ahead
Calculon	Father,I've,asked,join,White,House,roof,heart,to,heart,talk,follow,footsteps,resignation,Vice,President
Zoid	son,shame,like,sooner,die
Calculon	Father,ledge
Zoid	Oy
Calculon	Oh
Zoidberg	President,dead,Congratulations,Mr,President
Calculon	Nooo
Bender	Woo,hoo,Yeah,He's,visionary
Calculon	walked,hated,I've,seen,plagues,better,opening,nights,said,Oscar,practically,mantel
Bender	know,use,qualifier,practically
Calculon	listen,I'm,million,bucks,Oscar,you're,dead,snivelling,lobsters,Dead,hear,Dead
Zoid	Oy,emotes
Zoidberg	Let's,just,hope,Calculon,breaks,legs,they'll,grow
Zoid	He's,gonna,kill,klutzel,told,under,acting,stiff,going,Oscar
Bender	like,honest,way,to,pay,movie
Zoid	paid,paid,big,shot,doctor,money
Zoidberg	lied
Zoid	OK,blubbering,way,directed,hell,nomination
Bender	Wink
Calculon	400,categories,single,nomination
Zoidberg	won,Golden,Globe
Calculon	Piffle,That's,Emmy,movie,awards,told,want,Oscar
Bender	maybe,act,better
Calculon	Oscar,isn't,acting,It's,earning,respect,admiration,creative,community
Zoid	'bout,rig,awards
Calculon	That's,fine
Leela	It's,use,tar,Plus,think,flooded
Fry	missed,premiere,we're,gonna,die,enjoy,sights,Oh,God,Sylvester,Stallone
Zoidberg	live,big,shot,Hollywood,movie,star
Zoid	I'm,I'm,bigger,liar,career,went,tubes,day,invented,smell,a,vision
Bender	Calculon's,gonna,kill,sure,It's,everybody,else's,fault
Zoid	Oy,wanted,people,think,time,die
Zoidberg	talking,Uncle,Everybody,remembers,Harold,Zoid
Zoid	pathetic,has,been,remember,forgotten,relic,remember,Bah,It's,better,die
Zoidberg	death,Dr,Zoidberg,won't,responsible,Zoidberg,away
Rivers	Hi,I'm,Joan,Rivers',head,tell,I've,face,lifts,finally,lifted,right,body,It's,true,it's,true,Oh,oh,oh,comes,Jack,Nicholson's,DNA,reconstituted,gorilla,body
Bender	Catering
Rivers	Oh,here's,washed,up,actor,whatshisname,Harold,Zoid,presenting,tacky,honorary,awards,just,getting
Zoid	I'm,seat,filler,Joan's,head,marketable,skill,occupy,space
Calculon	know,second,don't,win,award,you're,cat,food,Right,Boxy
Announcer	host,1074th,Academy,Awards,Billy,Crystal
Crystal	know,Pez,dispenser,feels,award,tonight,Best,Cinematography,Non,Visible,Spectrum
Fry	It's,weeks,wanna,play,tic,tac,toe,eat,shoes
Leela	Oh,knew,I'd,die,pit,pit,tar
Fry	tar,dolphin,tar,shark
Leela	It's,kind,hollow,tube,devoid,human,life,Los,Angeles,subway,blast,way,escape
Fry	Alright,feel,like,having,shoe
Zoidberg	category
Bender	They're,giving,minor,technical,awards,think,they're,writing
Zoidberg	just,leaves,Best,Soft,Drink,Product,Placement,Best,Actor,don't,time
Crystal	nominees,Best,Soft,Drink,Product,Placement
Slurm Machine	Star,Trek,Pepsi,Generation,Mr,Pibb,Snow,White,7,Ups
Bender	present,award,Best,Actor,Dr,Zoidberg
Calculon	OK,Boxy,prong,trigger
Zoidberg	nominees,Best,Actor,Sir,Lawrence,Merchant,Venus,Hive,Mind,Gamma,7X,Bikini,Party,Summer,Soda,Machine,Robot,Bikini,Party,Summer,Mark,Jones,Beige,Jacket,instead,fifth,guy,Calculon,powerhouse,performance,Magnificent
Man #1	Uh,oh,read,wrong
Man #2	Shh,just,play,like,did,Marisa,Tomei
Zoid	Hooray,won't,murdered,I'll,live,day,day,pathetic,forgotten,misery
Zoidberg	winner,winner,instead,of,nominees,legendary,Harold,Zoid
Zoid	Thank,Thank,You,know,ups,downs,thought,important,thing,life,win,Oscar,tonight,realise,what's,really,important,win,Oscars,Ha,Ha,I'm,kidding,I'm,kidding,really,matters,life,people,care,it's,crowd,just,die,hard,fan
Zoid	Thank,nephew,die,happy,10,seconds,Calculon,kills
Calculon	Harold,Zoid
Bender	Hit,deck
Calculon	Where's,Oscar
Zoid	enjoy,getting,upset,It's,slightly,fraudulent
Calculon	Yes,Yes,it's,real,beauty,Someday,hope,win
Bender	you're,going,kill,Majesty
Calculon	Nay,respect,admire,Harold,Zoid,beat,death,Oscar
Zoidberg	Earthquake
Bender	Hit,deck
Zoid	Let,earth,quake,I've,got,somebody's,Oscar
Fry	I'm,Hollywood,party
Doorman	I'm,sorry,sir,private,Oh,pardon,you're,Mr,Stallone
