3	18	Anthology of Interest II	4	3	20020106	50
Raiders Lost Arcade	David,X,Cohen
Farnsworth	I've,finished,fine,tuning,What,If,machine,answer,What,If,question,accurate,one,tenth,plausibility,unit
Leela	That's,plausible,can't,believe
Farnsworth	wants,machine,alternate,reality
Bender	Ooh,Ooh,wanna,know,happen,human,mean,robot's,great,don't,emotions,makes,sad
Farnsworth	Oh,Lordy,Lou,goes,let's,baby,wants,Bender,human
Farnsworth	Good,news,I've,invented,way,turn,Bender,human,using,process,reverse,fossilisation
Leela	does,work
Farnsworth	regular,fossilisation,flesh,bone,turn,minerals,Realising,simple,matter,reverse,process,I've,tested,turning,toaster,racoon
Fry	Kinda,game,y
Farnsworth	ready,Bender
Bender	dunno,I'm,beginning,second,thoughts,
Hermes	Cover,shame,mon
Farnsworth	worked,Eat,won,Nobel,Prize,includes,Amy
Bender	human,body,huh,Neat,just,moved,I'm,getting,good,reception,Maybe,wiggle,little
Fry	Bender,You'll,make,God
Bender	let's,kinda,things,body,human,great
Zoidberg	Hooray,It's,just,like,Mardis,Gras
Bender	Guy,Guys,You've,gotta,You're,gonna,believe
Leela	Bender,it's,OK,proud,don't,show,off
Bender	Whoa,look,lot,better,used,reason
Amy	You're,bad,big,boy
Bender	Hey,felt,great,Nah,it's,working,anymore
Farnsworth	Speak
Bender	Whoa,awesome
Leela	Bender,drank,smoked,robot
Bender	it's,bad
Fry	Speaking,try,nachos
Bender	Mmm,didn't,tell,tasting,things,tasted,good,What's,going,rhythm,It's,doing,human,butt
Amy	Bender,human,having,self,control
Bender	Oh,God,bet,eat,nachos,bathroom,time
Amy	Bender
Hermes	
Leela	Stop
Bender	Let
Leela	
Farnsworth	Come,Bender,It's,time,home,rest,need,shape,week,present,Nobel,Prize,Committee,Bender
Bender	Goodbye,moderation
Zoidberg	Bender,missing,week
Farnsworth	Uh,I've,said,used,reverse,fossilisation,reverse,regular,um
Fry	Pst
Farnsworth	Ah,stalling,time,present,Nobel,judges,robot,turned,human
Wernstrom	God,needs,medical,attention
Zoidberg	Pulse,300,liver,failing,cholesterol,40
Leela	that's,bad
Zoidberg	mean,40,pounds
Farnsworth	um,scientific,breakthrough,heralds,new,dawn,human,robot,relations,yes
Bender	C'mere,old,Bender,kiss,Hey,like,grilled,cheese
Farnsworth	um,that's,believe,deserve,Nobel,Prize
Wernstrom	deserve,Nobel,Prize,loosing,bloated,man,ball,world,kicked,Academy,Science
Bender	Wait,men,science,minds,open,new,ideas,say,judge,tried,way,life
Wernstrom	Young,man,opened,minds,swayed,hearts,Let,therefore,
Bender	Party
Wernstrom	Bender,right,Truly,lived,week,human,rest,entire,lives
Bender	Woo
Wernstrom	recognise,achievements,award,Nobel,Prize,Chemistry
Farnsworth	Care,say,words,Bender
Fry	He's,dead
Wernstrom	did,die
Farnsworth	12,hours,ago,party,started
Wernstrom	just,said,Woo
Farnsworth	air,escaping,folds,fat,Goodnight,sweet,prince,greatest,man,know,let's,He's,starting,smell,joint
Narrator	watched,can't,un,watch,Stay,tuned,Tales
Farnsworth	question,What,If,machine,Scruffy,Katrina,Xanthor
Fry	Ooh,I'm,good,video,games,bad,That's,wish,life,like,video,game
Farnsworth	form,question
Fry	Uh,thing,said
Farnsworth	Oh,great,machine,beseech,thee,life,like,video,game
Nixon	Good,evening,ignorant,pigs,crack,pipes,beer,bongs,pay,attention,sign,historic,peace,accord,Ambassador,Kong,planet,Nintendu,64
Fry	Wait,second,know,monkey,Donkey
Farnsworth	Monkeys,aren't,donkeys,Quit,messing,head
Nixon	I'll,just,old,John,Q,Nixon,the,
Mario	Mama,Mia,cruel,meatball,war,rolled,laps,ruined,white,pants,peace
Man	Mr,Fry,rumour,know,secrets,video,game,Chance,step,war,room
Man	You'll,meeting,General,Colin,Pac,Man
Pac Man	Wakka,wakka,wakka,wakka,Let's,business,tell,Nintendians
Fry	sir,spent,ninth,grade,studying,day,eyeballs,started,bleed,opinion,
Pac Man	Quickly,escape,tunnels
Pac Man	way,damnit
