4	16	Three Hundred Big Boys	5	11	20030615	70
Announcer	week,universe,Dateline,Turantulon,6,brave,warriors,Earth,command,General,Major,Webelo,Zapp,Brannigan,achieved,victory,spider,homeworld,victor,belong,spoils,trillion,dollars,silken,treasure
Zapp	Mmm
Nixon	fellow,Earthicans,meeting,voodoo,economists,decided,refund,silk,surplus,taxpayers,That's,right,I've,sent,300,buckaroos,form,Tricky,Dick,Fun,Knock
Zoidberg	Money
Amy	I'm,slightly,richer
Bender	what,$300,hookerbot,300,$1,hookerbots
Leela	I'm,going,swim,whale,They're,gentle,giants,deep
Farnsworth	I'm,aware
Scruffy	Scruffy's,gonna,himself,$300,haircuts,one's,lost,pizzazz
Zoidberg	fortune,Zoidberg,live,like,rich,man
Nixon	Hey,cut,away,away
Amy	Shmeesh,It's,just,300,bucks,like,cups,coffee
Fry	That's,I'm,getting,cups,coffee,Starting,Coffee,machine,cup,coffee
Nixon	Smells,good
Zapp	Leela
Leela	
Zapp	Oh,yes,I'm,inviting,oddball,co,workers,special,reception,display,national,silk,surplus,believe,know,heroic,space,stallion,captured,medal,Kif
Kif	rented,tax,refund
Zapp	Leela,pleasure
Leela	little
Zapp	Tomorrow,night,Smooches
Crack Addict	cheap,crack,houses
Man #1	good,sir,Shall,pre,warm,sir's,crack,pipe
Amy	Oh,Kif,romantic,rent,paddle,plane,tax,rebate,We're,like,dandelion,seeds,wafting,breeze
Kif	Yes,Seeds,wafting
Amy	feel,kinda,shallow,blowing,rebate,cool,talking,tattoo
Tattoo #1	Hey,Gordon,Gecko,cost,crummy,date
Amy	Shut,Ow
Farnsworth	Uh,ma'am,chore,clean,wrinkles,day,true,stem,cells,fight,aging,process
Geneworks Woman	yes,way,infant,fight,Muhammad,Ali,But,
Farnsworth	pound,stem,cells
Geneworks Woman	course,age,reversing,effects,purely,temporary
Bender	Say,buddy,why's,Grand,Cigar,pricey
Clerk	wrapper,piece,original,Constitution,hand,rolled,Queen,Elizabeth,wild,years,buried,George,Burns,graverobbing,space,mushrooms,Uh,know,rest
Bender	300,bucks
Clerk	
Bender	Oh,alright,I'll,just,$300,burglars,tools
Clerk	good,sir
Bender	uh,time,d'you,close,tonight
Dwight	Hey,Pops,Did,tax,rebate,come
Hermes	Came,went,You're,proud,owner,Bamboo,Boogie,Boots,warning,label,big,know,gotta,fun
Dwight	Pops,don't,wanna,fun,wanna,like,boring,prudently,invested
Hermes	Babylon's,bells,tallied,300,bananas,entertainment,product,'em,fun
Dwight	don't,wanna
Hermes	I'm,gonna,'em,make,watch,fun,Fun,Fun,Dwight,Help
Dwight	I'll,save,Pops
Farnsworth	Hey,Turn,damn,music,
Hermes	Isn't,fun
Dwight	wish,mommies
Randy	Try,uh,sir
Zoidberg	ask,rich,guy,stuff,shiny,pebbles,Bah,bid,adieu
Randy	Ow
Leela	I'd,like,pass,swim,Mushu
Whale Biologist	asked,right,guy,I'm,whale,biologist,personally,hate,whales,Especially,Mushu
Leela	why'd,whale,biologist
Whale Biologist	don't,know,$300,Noon,tomorrow,you're,late,tread,water,scallop,tank
Fry	Uh,I'll,coffee
Man #2	Guppy,trout,mermaid,or,
Fry	Whale
Kif	Amy,I,I,spent,tax,rebate,gift
Amy	Oh,Kiffie
Kif	shows,time,it's,powered,love,wind
Tattoo #1	Oh,Somebody,won,big,Skeeball
Amy	shut,love,Kif,I'll,use,wanna,know,time,Ooh,It's,Fry,Leela,Hi,Fry,Leela
Kif	Oh,peddling,Oh,love,God,peddling
Amy	Bye,Fry,Leela
Tattoo #1	Oh,can't,wait,tattoos,Amy's,butt,hear
Tattoo #2	Hear
Tattoo #3	Tell
Amy	Don't,feel,sad,little,tadpole
Kif	I'm,trying,gift,belly,whale
Zoidberg	Say,reminds,time,ate,watch,Kif,gave
Amy	Hey,kinda,like
Zoidberg	induce,vomiting,solution,went,Valentine's,Day
Leela	Hmm,like,huge,coincidence,happen,whale
Scruffy	Scruffy's,formulated,plan,you'll,need,ready,source,nauseatin',rotten,fish
Elzar	Freshen,coffee,sir
Fry	Yeah,yeah,yeah,coming,pot,away
Woman	You're,young,spirit,It's,hard,believe,you're,old,25
Farnsworth	key,grab,life,hojos,Live,day,like
Elzar	What'll,kids
Farnsworth	bowl,mild,farina
Leela	Pay,dirt,Hi,yah
Elzar	big,spender,Foie,gras,caviar
Zoidberg	Goose,liver,Fish,eggs,Pah,Where's,goose,Where's,fish
Elzar	Hey,that's,rich,people,eat,garbage,parts,food
Zoidberg	ate,garbage,yesterday,didn't,cost,$300,I'm,paying,Farewell,good,sir
Bender	Le,Grand,Cigar,absolutely,consequences
Smitty	
URL	Grand,theft,tobacco,Time,fat,cop,asses,ride
Elzar	Pee,yew,fish,slightly,rotten,make,jambalaya
Amy	far,good,Where's,Kif
Fry	isn't,Yemeni,It's,Sulawesi,cup's,shaking,don't,want,coffee,shaking
Bender	tad,wound,buddy,face,greasy,Real,greasy,night
Fry	course,I've,night,caffeine,insomnia,couldn't,stop,thinking,coffee,need,nap,Coffee,time
Bender	Ah,Mighty,fine,smokable
Fry	Fancy,cigar,don't,smoke,Puff,puff,go,go
Bender	Nah,can't,blow,smoke,majestic,stogie,just,anyone's,face,I'm,saving,fancy,pantses,Zapp,Brannigan's,black,tie,reception,comin'
Whale Biologist	fifth,reason,whales,kill,sheer,fun
Leela	
Whale Biologist	Yeah,You're,lumpy,smell,awful,Hey,calls,'em,like,sees,'em,I'm,whale,biologist
Leela	OK,Mushu,it's,feeding,time,Oh,crud,ate,suit
Whale Biologist	suit,ugly,Whale,biologist
Caddy	tightened,grip,sir
Zoidberg	Ah,Thank,golf,slave,Bah,Rich,people,wouldn't,waste,time,nonsense,Plus,eggs,gritty,tasteless
Farnsworth	Ow,rough
Whale Biologist	Ladies,gentlemen,presenting,Mushu,educated,whale,thinks,he's,better
Amy	C'mon,Mushu,Barf,Barf,like,freshman
Whale Biologist	ignorant,whale,lovers,we'll,who's,boss,make,Mushu,jump,hoop,Jump,Mushu,wants,fish
Sam	Mushu,sad
URL	just,keeps,comin',comin'
Kif	Wait,chunk,It's,watch,got,Amy,got,plan,went,a,
Whale Biologist	He's,got,aquarium,property,Stop
URL	Better,says,He's,whale,biologist
Smitty	You're,arrest,squishy,punk
Zapp	Spiderians,weak,woman,like,battlefield,masters,textile,arts,Taste,like,king,crab,way,Crazy,bugs,actually,wove,tapestry,heroic,conquest,killing
Zoidberg	It's,scratch,sniff,rich,people,think,it's,good,I'll,buy,art
Mom	clever,impersonation,stupid,poor,person,placemat,actually,worth,Brannigan
Zapp	Exactly,$1,billion
Mom	that's,walking,around,money
Nixon	Hey,Wait,Aroo
Whitey	said,Kitty,way,butler,running,away,cut,foot,Yes,reminds,joke,heard,upper,middle,class,people
Amy	I've,sad,party,wonder,mind,thinking,Kif,jail
Scruffy	Jail's,bad,make,sangria,terlet,Course,it's,shank,shanked
Amy	course
Whale Biologist	Look,just,property,we'll,drop,charges
Kif	Fine,watch,It's,broken
Whale Biologist	don't,want,watch,You're,covered,precious,ambergris
Kif	Precious,hamburgers
Holo Roseanne	Ambergris,Noun,grease,like,product,sperm,whales,digestive,tract,used,base,finest,perfumes,Roseanne,guide,world,facts
Whale Biologist	heard,Roseanne,Scrape,priceless,ambergris,I'll,let
Kif	Or,Or,better,I'll,simply,shed,skin
Morbo	Stop,Stop,It's,fine,destroy
Farnsworth	Wha,Uh,gotta,Uh,fight,club
Woman	What's,happening,Hubie
Farnsworth	I'm,afraid,face,fell,love,actually,just,blob,living,gunk,bought,tax,refund
Woman	long,we're,honest,spent,tax,refund,crazy,treatment
Farnsworth	certainly,honest
Woman	It's,better,just,wrinkled,prune
Farnsworth	fat,queen,sea,cows
Woman	love
Farnsworth	Oh
Kif	putrid,waxy,substance,coated,was,
Amy	precious,ambergris
Kif	Yes,managed,sneak,usual,place,Ta,da,Using,I'll,make,perfume,lilac,jasmine,frankenberry
Amy	Oh,Kif,it's,romantic,can't,wait,I'm,gonna,wear,right
Mom	smells,like,freaking,porpoise,hork
Amy	Kiss,Kif
Zoidberg	Oh,foolish,squid,I've,I'm,rich,can't,buy,measly,masterpiece
Gus	Pardon,gent,couple,hungry,hungry,hobos,feed,aluminum,snack,box
Zoidberg	I'm,gutter,surrounded,bums,eat,garbage,Money,brought,happiness,Bupkiss
Dandy Jim	Ooh,boot's,got,little,pudding
Beeler	Interestingly,Spiderians,closely,related,elephants,spiders
Hermes	Don't,mind
Nixon	loot,loot,loot
Zapp	Leela,precious,rock,tub,I'll,save
Kif	door
Leela	It's
Farnsworth	We're,trapped,sweet,hippopotamus
Fry	Coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
Dwight	Pops
Farnsworth	Wha
Woman	happened,food
Leela	think,saved,mysterious,orange,blur
Zoidberg	Welcome,finally,figured,money,make,happy,using,buy,hungry,friends,feast
Dandy Jim	join,Oysters,Rockefeller,provided,genuine,turkey,dogs
Whitey	Heck,you're,rich,enjoy,free,turkey,dog
Amy	Yeah
Bender	Alright,Turkey,dog
Woman	I'll
Leela	
Mom	Oh,hell
Hermes	Dwight,boots,cost,$29999,invest,penny,like,wanted
Dwight	Thanks,Dad,I'm,gonna,buy,shares,Amazoncom
Hermes	risk,taker,That's,boy
Nixon	entire,surplus,gone,Oh,McGovern,I've,did,issue,crooked,tax,rebate
Leela	got,mildly,interesting,stories
Farnsworth	Oh,yes
Bender	Speaking,story,kinda,petered,learning,lesson
Smitty	
Bender	Alright,Closure
Holo Roseanne	Futurama,Noun,Um,don't,know,just,watched,dummy,asking,Hey,here's,fun,definition,Idiot,Noun,Roseanne,guide,world,facts
