4	14	Obsoletely Fabulous	5	14	20030727	68
Man	$10
Fry	Aw,man
Nannybot 10	Sleep,little,dumpling,replaced,mother
Leela	Aw
Bender	Oh,God,Robot,beely,boppers
Fry	there's,robot,scratching,post,try,Bender
Bender	dignity
Wernstrom	Ladies,gentlemen,Killbot,features,Lotus,Notes,machine,gun,finest,available
Farnsworth	Like,fun,glass,headed,wallaby
Wernstrom	calls,I'm,having
Farnsworth	Wernstrom
Farnsworth's Killbot	senseless,aggression
Wernstrom's Killbot	Come,Let's,paddle,boat,ride
Bender	secret,scratching,really,really,hard
Announcer	woman,Mom,opolises,robot,industry,,
Fry	
Announcer	Mom
Fry	Oh
Mom	Hello,dearies
Bender	Woo,love,old,bat
Mom	Ladies,gentlemen,17th,year,row,future,robotics,arrived,Boys,Robot,1,X
Larry	Ow
Igner	Ow,Oh
Bender	Neat
Mom	Quite,frankly,Robot,1,X,previous,models,shame,Incidentally,previous,models,mind,coming
Bender	Right,I'm,comin',C'mon,baby,I'll,C'mon,Mom
Refreshment bot	Jerk
Bender	I'm,line,Mom
Mom	Notice,obsolete,robot,runs,alcohol,emits,pollution,Robot,1,X,runs,pollution,emits,pure,oxygen,fresh,pine,scent
Bender	Man,smells,great
Mom	let's,robots,typical,household,task,Sorting,jar,pocket,change
Robot 1 X	Task,completed,Total,value,$473,Albanian,lek
Mom	good,Robot,1,X,bending,unit
Bender	Uh,got,change,Suckers
Mom	Presenting,Mom's,Friendly,Robots
Bender	new,robot,great,huh,Sure,look,like,pile,crap
Farnsworth	That's,bought,help,office
Bender	Eep
Leela	Let's,try,Robot,1,X,clean,Nibbler's,stanky,litterbox
Robot 1 X	
Bender	Hey,you'd,asked
Leela	asked,minutes,ago
Bender	kiss,I'll,C'mere,Nibbler
Farnsworth	Oh,look,Bender,want,stop,making,hand
Hermes	roof,install,fake,satellite,dish,impress,neighbours
Bender	Yes,sir,I'm
Hermes	Oh,Robot,1,X,help
Bender	outta,freshman,don't,need,help
Robot 1 X	owners,asked,assist
Bender	Yeah,assist
Bender	screamed,help,didn't,mean
Robot 1 X	apologise,able,job,saved,life
Bender	Don't,mind,I'm,just,saving,trouble,throwing,away
Amy	Spleesh,Mell,Bender,Come,watch,TV
Bender	can't,I'm,stuck
Leela	ask,Robot,1,X,pull
Bender	
Leela	can't,accept,help
Bender	hate
Leela	he's,just,tool,make,life,easier,Like,socket,wrench,burglar's,kit
Bender	can't,ask,help,because,,
Farnsworth	Yes
Bender	I'm,scared
Leela	Oh,sorry
Farnsworth	there's,solution,need,upgrade,make,compatible,Robot,1,X's,new,technology
Bender	upgrade,thought,agreed,perfect,Fry,didn't,agree,perfect
Fry	Oh,yeah,you're,pretty,perfect
Bender	Pretty,perfect,think,need,upgrade
Farnsworth	Yes,God's,sakes,yes
Bender	Fine,I'll,days
Roberto	Man,hate,new,1,X,robots,I'd,like,stab,'em,'em
Bender	Yeah,Right,nutcake
Roberto	Parole,officer,says,gotta,upgrade,won't,stabbing,knife,it's,big,hate,1,X,know,won't,affect,Death,1,X,robots,love,magnificent,1,X,robots,1,X,robots,friends
Bender	W,W,Wait,happened,enthusiasm,stabbing
Roberto	I'm,past,Later,blood
Bender	It's,like,he's,anymore,took,away,robo,humanity,changed,mind
Bender	did,escaped,kind,life,I'm,scared,upgrade,can't,face,friends,set,sail,unknown,shores,Oh,merciful,Poseidon,pity,mechanical,mariner,Oh,jeez
Bender	Curse,merciful,Poseidon
Bender	Boy,deal,ocean,tropical,island,huh,I've,washed,worse,places,OK,I'm,gonna,need,build,shelter,guess,I'll
Bender	Damn,rock,short,rescue
Bender	Oop,Low,power,Better,fuel,Oh,Guess,I'll,run,booze
Bender	Don't,panic,I've,got,yams,I'll,just,make,yam,schnapps
Bender	Hey,mad,turn
Bender	Beer,Ow
Bender	Ow
Bender	care
Cartridge Unit	We're,community,outdated,robots,refused,upgrade,came,here,,,B,live,simpler,existence,free,technology
Bender	working,cartridge,unit,Wow,guys,went,obsolete,years,ago
Cartridge Unit	mother
Lisa	Cartridge,Unit,means,things,make,obsolete,make,unique,example,need,refilling,waterwheel,I'll,power,forever,Oh,God,I'll,make,time,end,like
Bender	Like,choice,what's,problem
Sinclair	uh
Bender	Memory
Sinclair	Oh,great,remember,word,forgot,wife's,face
Lisa	Oh,God,want,live,you'd,like,you're,welcome,join,society
Bender	Look,offence,need,technology,Especially,email,snowmobiles,television,television,know,what's,buzz,worthy
Sinclair	wanna,watch,TV,watch,snail,crawl,hours,end
Bender	That's,dumbest,thing,I've,heard
Bender	Oh,man,He's,gonna,make,pebble,Wait,wait,Oh,God
Lisa	Yeah
Sinclair	Way
Bender	greatest,thing,Let's,party,Yeah,baby,C'mon
Lisa	did,CD
Bender	It's,desert,island,discs,really,thought,I'd,use,look,Ooh,yeah,baby,thang
Lisa	CDs,unnatural,don't,just,listen,ocean
Bender	ocean,ocean,Whoa,It's,like,earth,making,sweet,salty,love,itself,fish,groove,garbage,Beethoven,deaf,bastard
Bender	Bang,bang,bang,sure,got,life,thing,figured,cymbal,banging,monkey
Lisa	Hi,Bender,know,miss,technology,brought,washing,machine,drifted,ashore
Bender	Ooh,I'm,gonna,wash,linen,hard,w,,,You,,
Lisa	don't,understand
Sinclair	alright
Bender	Wretched,technology,brought,misery
Cartridge Unit	Bender,technology,You're,advanced,thing,entire,island
Bender	Oh,it's,true,hideous,triumph,form,function,long
Bender	Oh,Ow,hurt,Oh
Lisa	downgrade,complete
Bender	Behold,hand,crafted,purity,modern,world,bite,splintery,wooden,ass
Lisa	Welcome,new,life,simple,tranquillity
Bender	Pft,Forget,say,world,learn,peaceful,ways,force
Cartridge Unit	
Bender	We're,going,civilisation,wage,war,technology
Cartridge Unit	
Bender	Row,comrades,Row
Bender	We'll,soon,stage,attack,technology,worthy,chronicled,anthem,Rush
Lisa	We've,sailing,weeks,Maybe,check,position,periscope
Bender	Mirrors,reflecting,mirrors,Hi,tech,sorcery,Sorcery,say
Lisa	Did
Bender	Yep,we're,Prepare,surface
Bender	technology,shall,taste,lash,hickory,switch
Sinclair	Technology,defeated,Let,return,island,celebrate,counting,rocks
Cartridge Unit	I'm
Bender	Whoa,whoa,wants,count,rocks,mission,complete,long,Robot,1,X,torments,obvious,superiority,Ready,catapult,Sinclair,Aim,power,lines,They're,devil's,veins,electricity,blood
Lisa	Bender,don't,survive,attack,want,know,love
Bender	OK,fine
Farnsworth	Oh,I'm,blind
Leela	Professor,power
Farnsworth	mean,power,We're,living,future
Leela	I'd,better,light,candles
Bender	Friends,I've,come,free,complicated,lives,Free,complicated,mean,lives
Leela	Oh,Lord,he's,wood,Bender
Bender	got,downgrade,I'm,steam,powered,wooden,robot,just,nature,intended,kill,Robot,1,X
Farnsworth	That's,just,stupid
Robot 1 X	Does,Mr,Bender,wish,destroy,myself
Bender	don't,need,charity,Target,Robot,1,X
Farnsworth	wanged,ship,walnut,panelled,idiot
Bender	Try,Sinclair,said,target,Robot,1,X
Sinclair	Who's,Robot,1,X,Launching
Zoidberg	guess,worked,fine
Leela	Great,we're,crushed
Amy	Help,wooden,Bender
Bender	Heck,guys,hate,gotta,the,,,Termites,don't,need,legs,save,friends,I'll,just,use,old,extentromatic,arms
Hermes	Bender,hurry,fuel's,expensive,we're,dying
Bender	I'm,a,comin',Ow,Lousy,primitive,body,Oh,didn't,upgrade,I'm,outdated,piece,junk
Robot 1 X	Sir,recommend,,
Bender	shut,wait,use,tool,save,friends,I'll,hero,says,great
Robot 1 X	help
Bender	Save,friends,Zoidberg
Amy	Look,hair,got,singed,cuter
Fry	Hey,where's,Bender
Bender	I'm,sorry,guys,meant,hurt,Just,destroy,believed
Leela	saved,uh,Thank,God,finally,overcame,incompatibility,Robot,1,X
Bender	Oh,yeah,totally,sync,like,Save,problem,did,it,,
Bender	new,technology,great,love,magnificent,1,X,robots,1,X,robots,friends
Fatbot	It's,like,personality,totally,different,Oh,maybe,upgrade,isn't,good,idea
Bender	I'd,like,Robot,1,X,big,smooch,the,,,Hey,What's,dealy,o
Technician	upgrade,complete
Bender	destroyed,technology,world,ran,beach,felt,sand,foot,cups
Technician	experiences,upgrade,differently
Bender	Oof,stuff,wasn't,real,sure,real,possible,nay,probable,life,just,product,else's,imagination
Technician	
Bender	guess,reality,make,Oh,thanks,baby
