4	4	Less than Hero	5	6	20030302	58
SewerCom Operator	connected,SewerCom,Reach,touch,sewers
Munda	Look,Morris,it's,Leela,calling
Leela	Hi,Mom,Hi,Dad,Ready,big,trip,surface
Morris	We're,excited,honey,don't,wanna,embarrass,mean,mother,basically,monsters
Leela	Dad,relax,mutant
Munda	adorable,little,bag,wear,head,sale
Leela	one's,wearing,adorable,head,listen,ashamed,parents,I'll,weekend
Leela	Hey,guess,just,got,videophone
Bender	
Leela	parents,They're,coming,sewers,visit,Sunday
Amy	rocket,parents,mutants,It's,illegal,come,ground,'cause,they're,inferior,genetic,scum,Uh,present,company,excluded,course
Leela	I'm,getting,special,one,day,surface,permit,Citihall
Hermes	Ooh,you're,pick,licence,kill
Leela	Sure,Bare,hands,weapon
Hermes	Uh,does,piano,wire,count
Farnsworth	Good,news,Swedish,robot,Pi,kea,super,collider,ordered
πkea Robot	Enjoy,affordable,Swedish,crap
Fry	Let's,tools,we'll,need,Uh,huh,Uh,huh,Uh,huh,Alright,we're,set
Bender	like,rustic,wholesomeness,working,one's,hand
Bender	Ah,Finished,missing,pieces
Fry	Swedes,sure,know,need
Leela	Man,I'm,sore,feel,like,just,went,rounds,Mighty,Thor
Fry	feel,like,mauled,Jesus
Zoidberg	I've,got,just,thing,Genuine,miracle,cream,bought,travelling,salesman,Come,come,said,Step,right,sounds,good,true,thought,said,looked,like,smart,young,man,deal,enquired,hours,later,gone,60,dollars,miracle,cream,,
Farnsworth	Bad,news,super,collider,super,exploded,need,exchange,wobbly,CD,rack,rancid,meatballs
Man #1	Excuse,hi,minute,live,Jersey,City,car,broke,need,Aunt's,real,sick,needs,medicine,need,money,bus,I'm,mugging,Hand,wallets
Leela	don't,believe,story,second
Man #1	doesn't,matter,I'm,mugging
Fry	There's,bus,Jersey,City
Man #1	wallets,robot'll,shoot
Andrew	Don't,make,hurt
Fry	I'm,scared,pocket,I'll,just,pants
Man #1	Hey,don't,like,I'm,seeing,Andrew,Andrew,the,,,Laser,proof,shirts,huh,I'll
Leela	Huh,Hey,Quit,Hi,yah
Man #1	Foiled,years,planning
Andrew	You're,outta,game
Leela	did,manage,survive,gave,strange,powers
Fry	Maybe,we're,wearing,magic,rings,they're,invisible,rings,don't,realise,can't,feel,rings
Leela	Fry,shut,look,cause,superpowers,humans
Fry	Wow,superpowers,drug,just,rub,skin,You'd,think,it'd,freebase
Leela	Let's,powers,Super,strength
Fry	Yup
Leela	Uh,huh,Lickety,speed
Fry	Check
Leela	Yes,sir,Ability,command,loyalty,sea,creatures
Fry	Hey,Zoidberg
Zoidberg	Screw
Leela	Ain't,got
Fry	Nope
