5	13	Into the Wild Green Yonder Part 1	6	13	20090830	86
Seth MacFarlane 	rebornIn,future,place,time,Hindu,brethren,say,true,age,things,hover,lovers,we'll,say,'Cause,we'll,happening,hot,spots,We'll,cruise,cool,casinos,You'll,fly,moon,moon,fly,Phobos,Deimos,psychic,worms,Rigel,control,make,think,3010,exactly,1962,Don't,expect,changes,friend
Bender	Wow,Mars,Vegas,Long,live,eternal,city
Mr Wong	zero
Bender	Rest,hell,Crapville
Mrs Wong	desert,we’re,gonna,build,bigger,better,Vegas
Mr Wong	Bathtubs,size,oceans,hookers,size,bouncers
Bender	Hamburger
Worm Announcer	Stand,clear,closing,jaws
Amy Wong	what's,gonna,Dad
Mr Wong	That,oasis,Future,site,Oasis,Hotel,stupid,Mother,Nature
Frida Waterfall	Okay,Let's,hit,hard
Feministas	land,land,land,land
Fry	noisy,women
Frida	I'm,Frida,Waterfall,leader,Greenorita,Eco,Feminist,Collective,let,man,doze,beautiful,gyno,desert
Mr Wong	I'm,Leo,Wong,say,Boom
Frida	happened,femi,necklace,where's,mega,fem
Professor Farnsworth	badly,hurt,Dr,Zoidberg
Zoidberg	don't,quite,know,say,Fry,dead
Zoidberg	Wait,dead,thing
Mr Wong	Damn,eco,broads,can't,spray,eagles,upsetting,kooks
Leela	hang,construction,don't,make,sure,you're,harming,native,species
Mr Wong	scientist
Farnsworth	Err,Oh,yes,You've,got,go,ahead,Mr,Wong,place,deader,year's,cat
Leela	it's,There's,precious,life,right,scum,puddle
Farnsworth	Ah,desert,muck,leech,Amazingly,entire,species,lives,tiny,stink,hole,Killing,easier,exterminating,ponies
Leela	Leeches,cuddly,like,pandas,tribbles,poor,endangered,creatures,deserve
Bender	I'll,trusty,foot,cups,Stompy,Smashy
Leela	don't,kill
Mr Wong	They're,endangered,anymore,They're,extinct
Leela	they're,saved,I'm,gonna,raise,care,world,forever,know,it's,lost,freaking,slime,wad,killed,It,kind,Let,Poor,thing
Mr Wong	Tell,Fry,promise,sue,token,free,entry,poker,tournament,took,saw
Bender	Maybe,did,maybe,didn't,What's,Bender
Mr Wong	Okay,okay,Come,New,Vegas,opens,free,rooms,free,dinner,free,tickets,Celine,Dion
Bender	Lose,Celine,Dion,tickets,got,deal
Mr Wong	right,damn
Bender	right,scored
Zoidberg	Look,Vegas,I've,got,Oh,I'm,bankrupt
Fry	said,Hermes,pathetic,lovable
Hermes	Yup,said,thing,man
Fry	acting,weird,Leela,talking
