5	14	Into the Wild Green Yonder Part 2	6	14	20090830	86
Hermes Zoidberg	Previously,Futurama
Hutch	need,doodangs
Fry 	foil,hat
Hutch	Truth,you're,mind,reader
Fry	Oh,God
Amy	You're,having,affair,head,robot,mafia's,wife
Bender	Okay,finished,digging,shallow,grave
Fry 	Poor,Bender,left,voicemail,Robot,Mafia,buried,desert
Bender 	Fry,old,friend,die,just,wanted,say,Hang,I'm,getting,Hello
Hermes	Line,people,shovel,sixth,planet,We'll,meet,50,years,bodies,broken,lives,wasted
Zoidberg	say,free,shovels
Bender	I'm,baby
Fry	Bender,thought,Robot,Mafia,killed
Bender	Nah,just,shot,buried,times,warning
Fanny	Bender,brave,stopped,making,time,shooting
Bender	sure,didn't
Fanny	gotta,husband,baby,tonight
Bender	Probably
Mr Wong	It's,14,footer,clown,hazard,club,recommend,Baggy
Baggy	hole,suggest,putter
Fry	golf,club,sure,classy,Mr,Wong,Naked,statue,classy
Leela	nice,just,wish,Amy,didn't,wear,sexist,badges,melons
Amy	We're,lucky,play,guests,Leela,Dad's,club,strict,girls,allowed,policy
Leela	doesn't,fair
Amy	really,Everybody,knows,women,don't,focus,play,miniature,golf,professional,level
Leela	that's,best,shot,day
Mr Wong	ball,think,ball
Amy	Pfft,great,putt,Dad
Mr Wong	Okay,we're
Leela	Mr,Wong,place,green,middle,desert,Doesn't,waste,lot,water
Mr Wong	Nah,got,plenty,water,pumped,directly,flamingo,lake,They'll,fine
Mr Wong	Oh,yeah,love,miniature,golf,Love,damn,miniature,That's,I'm,building,universe's,biggest,miniature,golf,course
Mr Wong	tee
Fry	Where's,hole
Mr Wong	Pluto's,moon,Hydra,It's,six,billion,mile,par,two,Tough,shot,man,sun,Bank,Jupiter,right,I'll,right,dropped
Amy	
Mr Wong	mind,just,hole,course,gonna,bulldoze,entire,arm,Milky,Way
Leela	You're,gonna,wipe,10%,galaxy,stupid,golf,course
Mr Wong	12%,Second,yes,betcha
Leela	idea,life,forms,evolving
Mr Wong	That's,exactly,I'm,hiring,impartial,scientist,perform,environmental,survey,That's,money,shower
Fry 	Delivery,boy's,log,Having,fallen,asleep,thought,toilet,awoke,environmental,survey,progress
Farnsworth	Status,reports,Science,Officer
Bender	Zilcho,sign,life,intelligence,Just,like,Fry,date
Fry	Hey
Leela	Okay,haven't,life,don't,men,can't,happy,regular,sized,miniature,golf
Farnsworth	Leela,evolution,programmed,fabulous,male,brains,anybody,thinks,important,make,bigger,seen,new,301,inch,TV
Announcer	Hypnotoad,brought,MagnaPhallix,302,inch,TV,It's,bigger
Farnsworth	Oh,hell
Bender	Captain,I'm,detecting,life,spock,o,scope
Leela	It's,amazing,It's,like,textbook,evolution
Fry	Kansas
