5	4	Bender's Big Score Part 4	6	4	20080323	76
TV Announcer	it's,time,Everybody,Loves,Hypnotoad
Zoidberg	depression,entertainment,industry,thrives
Fry	okay,Leela
Leela	Yeah,I'm,just,little,'cause,man,I'll,love,left,altar,Plus,live,dumpster
Zoidberg	stay,dumpster
Announcer	interrupt,episode,Everybody,Loves,Hypnotoad,bring,special,address,Earth,President,Nixon
Announcer	Hypnotoad,it's,control,Don't,make,kill,myseIf
Nixon	fellow,Earthicans,I've,just,received,really,great,news,I'm,close,deal,allow,buy,Earth,scammers
Bender	That'll,teach,scammers
Nixon	Just,things,looked,darkest,received,e,mail,Andrrrrrrromeda,Galaxy,lt,we've,won,quadrillion,dollar,family,sweepstakes
Leela	Oh,Lord
Nixon	hand,remaining,land,water,collateral,assuming,goes,What's,Agnew,telegram,Baroo,We've,scammed,people,Prepare,evacuate,Earth,mean,New,Scamadonia
Nudar Fleb Schlump	Na,na,na,na,Na,na,na,na,Hey,hey,hey,took,stuff
Leela	aboard,Neptune
Farnsworth	Oh,don't,want,to,Neptune,I'll,cold,heavy
Nudar	Thanks,planet,suckers
Bender	It's,cold,processor,running,peak,efficiency
Leela	whining,machine,lf,want,worry,worry,Yetis
Zoidberg	Yetis,Oh,Yetis
Farnsworth	Amy,speak,Yeti,saying
Amy	I'm,sure,sounds,like,assaulting,interlopers
Leela	Don't,mess,ice,crapping,snow,honkies,just,got,dumped
Hermes	Sweet,Yeti,Serengeti,she's,gone,crazy,eddie,head,y
Inuit #2	normal
Inuit #1	cook,eat,slightly
Fry 2	Leave,just,needs,cheer,Wanna,sword,fight,girl
Fry 2	male,narwhal,upsetting,Captain,fast,ahead
Leroy	Damn,whale,keepers
Leela	Santa,forgot,he's,based,Neptune
Santa	Ho,Ho,Ho,Oh,heart's,I'm,depressed,murder,mayhem
Amy	Aw,try,antidepressants,They're,gummy
Fry	happened,Santa
Santa	scammers,cheated,naughty,list,use,telemarketing,imagine,harm,information,wanted,harm
Leela	That's,They've,gone,far,running,hiding,It's,time,fight
Santa	let's,resort,violence,Leela
Leela	We're,fighting,you're,helping,fat,holiday,idiot
Santa	hurt,You're,naughty,list
Leela	that's,proposal,napkin,Mr,President,just,people,ships,mount,ragtag,attack
Nixon	wish,missy,Dog,danged,scammers,used,money,build,fleet,remote,controlled,solid,gold,Death,Stars
Bender	Ooh,I'd,chili,fries
Nixon	We're,hopelessly,outgunned,Force,that's
Santa	Ah,access,huge,manufacturing,complex
I,brought,elves,vacation
Kwanzabot	Kwanzabot
Chanukah Zombie	Chanukah,zombie
Three,mad,wise,men
Neptunians	Damn,Doo,doo,doodoo
Shut
Neptunians	Says,Doo,doo,doodoo
Says
Talmud,says,slow,anger”
Neptunians	hut,Doo,doo,doodoo
Dreidl,dreidl
Neptunians	You're,nuts,Doo,doo,doodoo
And,it's,dry,ready
Kwanzabot	
Check,check,Kwanzabot
Santa	Yeah,K
Kwanzabot	CZ
'Chanukah Zombie	Hey,hey
Let's,slay,pimps
Easy,toy,artillery
Santa	sue,liability
Nixon	Certainly
Santa	Use,able
Neptunians	bites,Doo,doo,doodoo
You,signed,away,rights
Leela	let's,fight
Nixon	Let's,fight
Neptunians	Doo,doo,doodoo
Okay
Santa Chanukah Zombie Kwanzabot	trinity's,going,war
Leela	Troops,equipped,finest,weapons,magical,elves,build,battle,plan
Nixon	present,battle,plan,Commander,Zapp,Brannigan
Leela	
Zapp	ease,people,redecorating,undisclosed,location,received,word,heroic,invasion,Kif,crouch,shield,thighs,cold,God's,sake
Zapp	fight,battle,children,children's,children,I'm,forming,children's,brigade,following,youths,step,forward,Cubert,Farnsworth
Cubert	sir
Farnsworth	boy,Oh,God
Zapp	Dwight,Slim
Dwight	
Hermes	took,Oh,God,ways
Zapp	Assuming,15th,pile,children,buys,seconds,execute,maneuver,45,Followed,maneuver,44
Kif	Forty,six
Zapp	Oh,great,start,beginning,maneuver
Kif	
Lars	Admiral,stop,attacking,point,phony,baloney,feel,good,wars,like,war,drugs
Zapp	What's,smart,mouth
Lars	Lars,Fillmore
Zapp	Ah,lovely,Leela's,on,again,off,again,paramour,suicide,mission,knockthe,insubordination
Leela	Yes,yes,yes
Kif	We're,approaching,Earth,sir
Zapp	Oh,planet,Earth,big,blue,velour,marble,commanders,stand,Prepare,transfer,battle,control,main,duper,computer,mark,eigh,,,
Leela	Does,anybody,mind,command
Nibbler	
Sal	Nos
Bubblegum	Nah
Al Gore	Nope
Cubert	Miss,Turanga
'Donbot	
Santa	
Kwanzabot	It's,cool
Chanukah Zombie	Argh
Leela	right,Unit,acquire,target
Fleb	Yes,Nailed,children's,ship
Leela	Unit,10,Target,H,16,K,Niner,niner,left,mean,right
Sal	Whoas
Leela	55,U,8,R,2,V
Farnsworth	Bingo
Hattie	Cheating,son
Al Gore	Whoa,Whoa,Whoa
Leela	It's,hopeless,can't,coordinate,ships
Hermes	help,Professor,wire,head,directly,battle,grid
Farnsworth	wire,directly,I'm,professor
Hermes	prepare,bureaucrat's,brain,action
Al Gore	Finally,save,Earth,deadly,lasers,instead,deadly,slide,shows
Clamps	He's,champing,clamping
Kwanzabot	Kwa,zang
Hermes	did,saved,Earth,won,woman,Right,woman
LaBarbara	Oh,Hermes,I've,fool,Truth,married,sexy,potato,bodybut,I'm,staying,sexy,potato,head
Slim	haven't,seen,Barbados,Slim,goodbye,forever
Nudar	Nice,attack,doo,doo,heads,bad,trick,sleeve
Amy	doubt
Nudar	Remember,Farnsworth
Farnsworth	Farnsworth,That's,doomsday,device,scammers,sawed,hand,stole,doomsday,device
Bender	lt,wasn't,lt,Bender,master,criminal
Nudar	what'll,Unconditional,surrender
Leela	
Nudar	totaI,destruction
Leela	
Nudar	30,seconds,Make,minds
Leela	Nevvveeeeer
Bender	People,I'm,sorry,You've,heard,say,words,individual,letters,make,huge,modesty,humbly,beg,forgiveness
Bender	Shut,looking,apologized
Leela	Dum,dum
Nudar	Uh,oh,worrisome,shriveling,sensation,sprunjer
Amy	Yay,Bender
Fry	right
Fry	Bender,Hulk,did,end,doomsday,device
Bender	working,long,sawing,professor's,hand,extremely,dull,saw,time,think,asked,myself,use,doomsday,device,scammers,Bender,minutes,sawing,knew,answer,Bender,retrieved,dummy,satchel
Bender	soon,scammers',control,pulled,old,switcheroo
Bender	that's,saved,Earth,greatest
Nixon	Bender,robot,I'm,proud,present,Earth's,highest,award,swindling,Dirty,Double,Cross
Bender	I'll,aways,treasure,immediately,hock
Lars	body's,good,new,Just,pop,executive,suppository
Fry	
Leela	
Fry	It's,supposed,celebration,Leela,mean,come,Whimmy,wham,wham,whazle
Leela	can't,help,gonna,married,happy
Fry	maybe,you'll,meet,someday
Leela	don't,understand,Lars,man,I'll,love,know,heart
Fry	remember,met
Leela	Uh,huh,lt,right,cryogenic,lab,years,ago,today
Fry	Meet,minutes,It's,important
Fry 2	sad,Leelu
Fry 2	Wait,second
Fry 2	Atanarjuat,Fufu,come,set,Leelu,free
Inuit #2	Dang,quit,job,casino
Fry 2	needs,what'll,make,happy,what'll,make,happy
Fry 2	Goodbye,Leelu
Lars	don't,know,frozen,heads,course,it's,Mahatma,Gandhi,I'll,Leela
Leela	Lars
Lars	I,really
Leela	Fry,idiotic,trick,Lars
Fry	Quite,idiotic,don't,need,idiot,belong,LeelaI,want,what'll,make,happy,what'll,make,happy
Lars	I'm,sorry,really,Leela,just,can't,married
Fry	obviously,love,cousins
Lars	Fry,deserve,know,truth,It's
Nudar	
Leela	Nudar,did,survive,doom,blast
Nudar	doom,proof,platinum,vest,absorbed,radiation,retrospect,wish,I'd,wearing,doom,proof,pants,know,nudists,time,code
Fry	don't,Nibbler,heat,blasted,butt
Nudar	
Nudar	
Leela	Lars,doesn't,Fry
Fry	Nibbler,heat,blasted,butt,want,stress
Nudar	throbbing,sprunjer,says
Lars	I'm,afraid,expensive,gun,ahead,shoot
Nudar	Oh,yeah,kill,woman,love
Leela	Don't,understand,numb,neck,doesn't,love
Lars	I've,loved,Don't,hurt,I'll,code
Nudar	
Bender 2	Boom,Woah
Leela	Lars
Fry 2	It's,just,know,you're,happy
Fry 2	It's,know,you're,happy,Lars
Bender	Fry,old,buddy,It's,Bender
Fry 2	hair
Fry 2	larynx
Lars	I'm,Lars,I'm,Lars
Fry	Wait,Leela,I'll,thousand,years
Lars	got,job,Head,Museum,waited,wonderful,day,Leela,arrive,perfect,Hermes,exploded,wedding,That's,learned,time,paradox,duplicate,doomed,couldn't,Leela,called,I'm,sorry,Leela
Leela	understand
Crazy Guy	concludes,Silly,Willy,Wideo
Fry	good,man,Leela
Leela	Yeah
Farnsworth	guess,wraps,nice,paradox,free,bow
Bubblegum	quite,wrinkly,brother
Nibbler	Right,order,make,sense,make,final,trip,time,code,Fry's,ass,place
Bender	Sounds,like,job,Bender
Bender	Zero,zero,one,zero,zero
Bender	Mission,accomplished
Fry	time,code,ass
Bender	Someone's,ass,Oh,guess,met,really,cool,guys,treasure,limestone,cavern,invited,stick,instead,coming,logically,supposed
Nibbler	No,universe,Quick
Bender	What's,worst,happen
Bender	we're,boned
