5	5	The Beast with a Billion Backs Part 1	6	5	20081019	77
Narrator	Previously,Futurama
Morbo	month,space,ripped,open,like,flimsy,human,skin,Terrified,earthlings,beginning,grow,exhausted
Hermes	Professor,sprinkle,wisdom,mighty,brain,scared
Professor	entirely
Zoidberg	entirely
Morbo	Scientists,believe,rip,gateway,universe,know,mysteries,lie,reporter's,opinion,gruesome,death,awaits
Linda	sports,here's,Sportsbot,5000
Sportsbot 5000	sports,cancelled
Professor	better,understand,anomaly,focus,radiation,giant,medium,sized,ant,happens
Giant Medium Sized Ant	What's,going,told,sugar,syrup
Professor	Quiet
Fry	Oh,hey,Colleen
ALL	Hello
Amy	like,shoes
Bender 	awkward,Introducing,new,girlfriend,Chesty,McNag,nag
Leela	Oh,don't,mind,I'II,turn
Bender	Hey,can't,turn
Leela	Hi,I'm,Leela
Colleen	Hi,Leela,hi,Sorry,I've,taking,Fry's,time,He's,just,interesting,seen,cotton,candy,eat
Professor	Oh,yes,51,pounds,That's,blood,good,pancakes
Fry	got,skedoodle,oodle,We're,taking,cuddle,cab,Hug,a,Bunny,Village
Zoidberg	lovey,dovey,stuff,making,vomit,saltwater,freshwater,stomachs
Leela	pretty,sickening
Zoidberg	double,vomit,sign,joy,Fry,told,Colleen,met
Zoidberg	did,Colleen,meet
Fry	
Fry	seeing,Jumbotron,makes,real
Colleen	It's,scary,supposed,universe,coming,end
Fry	thought
Bender	gonna,juicy,Oh,man
Amy	Speaking,sappy,love,Want,tell,Kiffy
Kif	Yes,Amy,big,announcement,Oh,I'm,just,excited
Amy	Kif,asked,Fonfon,Ru
Zoidberg	Mazel,tov
Professor	Wonderful
Hermes	hell,does,mean
Kif	means,I've,asked,Amy,join,family,you're,invited,family,swamp,Fonfon,Rubok,ceremony
Amy	heard,it,dreamed
Kif	Oh,parents,meeting,time
Bender	That's,awkward,Fry's,bimbos,meeting,Count
Kif	Mr,Mrs,Wong,aren't,excited,we're,joined,single,family
Mr Wong	can't,borrow,money
Mrs Wong	Kif's,parents,come,late,stand,swamp,getting,eaten,alive,damn,bugs,[She,squashes,bug,neck
Kif	Mrs,Wong,finial,stage,species',life,cycle,colony,flying,hookworms,just,squashed,father
Mr Kroker	Welcome
Mrs Wong	Sorry,guess,got,plenty,bugs,spare,huh
Mr Kroker	left,testicle
Bender	awkward,meter,goes,notch,Ding,ding,ding,ding,ding
Fry	Wow,Colleen,look,beautiful,light,swamp,gas
Colleen	Thanks,really,fun,love,going,exotic,worlds,getting,hammered
Fry	
Bartender	Harvey,Wallclimbers
Zapp	Leela,can't,help,notice,you're,unescorted,escort,bush,minutes
Leela	revolt
Zapp	shrub
Kif	Ooh,Rubok,begun
Grand Midwife	Grand,Priestess
Fry	Aren't,Grand,Midwife
Grand Midwife	grand,Lunch,Lady,work,jobs,grand,Kif,clan,Kroker,transcend,Rubok,Etlon,Fonfon,Smizmar,Ru
Kif	
Grand Midwife	mud,mud,petroleum,billion,generations,Kif's,ancestors,ooze,clan,Kroker
Amy	Oh,Kif,it's,like,movie,happening
Grand Midwife	best,man,present
Zapp	Guilty,charged
Grand Midwife	Kindly,hose,couple
Grand Midwife	eat,snake,choose,It's,ceremony,just,extra,snake,Rubok,complete,Throw,bouquet
Zoidberg	going,eat
Bender	Fry,run,run,oh,God,oh,God
Fry	What
Bender	Shut,Calculon's,TV
Monique	beg,Calculon,don't,ring,door,chime
Calculon	choice,Monique,blackmailer,lives,hideous,strangely,familiar,door
Human Friend	Calculon,residence,Oh,hello,Mr,Calculon
Calculon	Son,bit,house,means,I'm,blackmailing,myself,didn't,tell,Monique
Monique	tried,couldn’t,Oh,Calculon,I'm,afraid,fourth,personality,don't,know,lovers
Bender	How's,Calculon,going,Fry,especially,humiliating,tennis,tournament,Fry
Fry	Don't,know,Bender,Tonight's,big,date,Colleen,got,run
Bender	like,watch,Look,got,cabbage,snack,Humans,like,cabbage,right
Ride Barter	Step,right,2D,Tunnel,Love,glorious,dimensions,price,single,ticket,hands,car,shut,fun
Fry	Wow,look,beautiful,2D
Colleen	perspective,I'm,just,line,segment
Fry	really,hot,line,segment,listen,sweetie,pie,thinking,maybe,step
Colleen	Really
Fry	Yes,Colleenwill,moved
Colleen	
Amy	Way
Zoidberg	Hooray,hooray
Leela	That's,great
Bender	You're,moving,can't,just,curl,foot,bed
Professor	Listen,know,you've,extremely,worried,cosmic,anomaly
Hermes	Oh,right
Professor	there's,good,news,We're,going,learn,scientific,conference
Man walking screen	like,city,marshmallow
Stephen Hawking's head	Welcome,pickled,head,Stephen,Hawking,way,cool,rocket
Leela 	Black,hole,Hawking,Wow,knew,going,meet,hair
Stephen Hawking	
Stephen Hawking	conclusion,understand,anomaly,cashing,huge,check,got,writing,book
Professor 	know,anomaly,terrifying,scientists,sworn,duty,seek,knowledge,cost,lives
Stephen Hawking	
Farnsworth	say,mount,expedition,anomaly,forthwith
Wernstrom 	agree
Professor	Wernstrom
Wernstrom	Professor,Farnsworth,correct,manned,mission
Professor	Don't,listen,crackpot
Wernstrom	I'm,agreeing
Professor	I'll,make,eat,words,moron
Wernstrom	Ah,volunteer,lead,expedition,squad,graduate,students,eager,risk,lives,letter,recommendation
Professor	squad,sucks,bosons,team,twice,qualified,times,expendable
The PE Crew 	Yeah
Wernstrom	Oh,tough,talk,Fields,Medal
Crowd	Ooh
Stephen Hawking	Ooh
Professor	Wernstrom,ought
Stephen Hawking	didn't,know,quiet,settle,like,men,science
Professor 	
Professor 	Let,Deathball,begin
Farnsworth	Planet,Express
Wernstrom	team
Fry	Leela,header
Colleen 	Woo,hoo,Bust,balls
Zoidberg	Hooray,We're,equally,good
Leela	Come,Bender,grandmother,push,harder
Bender	crap,grandmother,bulldozer
Bender	metal,man,defeated,meat,man,end
Colleen	Come,winner
Colleen 	Come,loser
Fry 	Colleen,doing,face
Colleen	boyfriend,silly
Fry 	thought,boyfriend
Colleen	
Fry 	boyfriends
Colleen	Oh,don't,Fry,meet,Chu,Bolt,Ndulu,Shlomo
Chu	Nihow
Ndulu	Greetings
Bolt	Pleasure
Fry	But
Colleen	Shlomo,Ndulu,help,stuff,apartment,tonight
Ndulu	Welcome,relationship,buddy
Fry	Hmm
Chu	There's,butterscotch
Farnsworth	Congratulations,Deathballers,We've,won,right,explore,anomaly
Zoidberg	thought,playing,freedom
Farnsworth	I've,said,good,news,sending,mission,extreme,danger,say,anomaly,dangerous,imagine,dangerous,really,think
Hermes	dangerous
Farnsworth	Actually,quite,dangerous
Hermes	quite,dangerous
Farnsworth	stop,shilly,shallying,Prep,ship,line,pre,flight,coffee,enemas
Enema Bot	Warning,enema,enjoy,extremely,hot
Fry	don't,know,Leela,Colleen,boyfriends
Leela	going,Sleep,big,pile,like,hamsters
Fry	It's,like,gets,room,shelf,refrigerator
Zoidberg 	deal,Fry,there's,delicious,cake,isn't,better,slice,guys,eat,slices,they're,thrusting,sweaty,naked,bodies,cake
Amy 	thing,matters,Fry,really,love,Colleen,like,love,little,squeezle,[She,squeezes,head,expands,eyes,expand,head,giggles
Fry	Yeah,love
Kif 	things,work
Farnsworth	Whoa
Enema Bot	Double,espresso,Philip,Fry
Fry 	Sorry,I'm,going,mission,I'm,moving,Colleen
Kif	Good,Fry
Zoidberg	Hooray
Amy	Alright
Fry	I'll,just
Colleen	Yay,Welcome,new,home
Fry	Thanks,Colleen,listen,I'm,sorry,got,jealous,I'm,just,happy
Ndulu	Want,slice,delicious,cake
Bender,anomaly
Amy	It's,anomalous
Hermes	I'm,feeling,dread,deep,dreads
Farnsworth	Wernstrom
Wernstrom	Yes,I'm,afraid,disturbing,news,anomaly
Farnsworth	did,number,Hermes,hang,rudest,possible,manner
Hermes 	Yes,sir
Wernstrom	crack,slam
Colleen	Oh,life,rocks,I've,got,good,wine,sweethearts,today,promoted,Chief,Police
Fry 	Here's
Chu	
Fry	Colleen,I'm,making,romantic,toast
Chu	Sorry
Fry	beautiful,eyes,think
Ndulu	Thank
Fry	I'm,talking
Ndulu	talking
Schlomo	quiet,little,want,hear,say
Fry	Thank
Schlomo	you,Verstinkener,You're,just,'cause,likes,cave,men,stupid,ages
Bolt	Oh,look,who's,talking,You're,just,'cause,got,matzoh,fever
Ndulu	what's,explanation,moron,fever
Colleen	love,people,world,don't,Let's,just,grateful,okay
ALL	Yeah
Chu	Yeah,you're,right
Fry	Colleen,look,really,nice
Colleen	Oh,thanks,got,dressed,date,Don't,wait
Fry 	That's,thought,okay,I'm,I'm,breaking
Ndulu	
Bender 	risking,lives,Can't,just,send,robotic,drone,What's,everybody,looking
Bender	Let's,send,robot,explore,'Cause,buy,20,bucks
Leela	Really
Bender	it's,30,bucks,there's,$10,mail,in,rebate,League,Robots,hears,won't,pleased,Oh,you'll,pay,darlings
Hermes	League,Robots,doesn't,exist,tin,mon,It's,just,cartoon,babies
