5	7	The Beast with a Billion Backs Part 3	6	7	20081019	79
Mayor Poopenmeyer	Look,sky
Hermes	It's,bird
Hattie McDoogal	It's,plane
Super Hero	
Zapp 	Captain's,log,star,date,year,tiger,battle,bravely,fought,suffering,troops,measure,alien,invulnerable,defeat,inevitable,obvious,remote,command,post,Times,Square,Applebee's,Waiter,fried,mozzarella,kitchen,fry
Nixon	Har,harrooo,tentacle's,coming,Earth,there's,stopping,King,Kong's,old,save,time
Farnsworth	hope,Mr,President,encase,entire,planet,protective,sphere,patented,ultra,hard,Diamondium
Wernstrom	Diamondium,gum,dentures,My,trademarked,Diamondillium,twice,hard
Farnsworth	Twice,hard,head,makes,fairly,soft
Nixon	look,Poindexters,don't,care,decide,Just,decide
Farnsworth	Diamondillium
Bender 	hey,Calculon,know,I'm,new,guy,pardon,ignorance,kill,humans
Calculon	
Bender	motto,Doesn't,mean
Calculon	Oh,Bender,idealism,heart,warming,League,Robots,hasn't,killed,human,800,years,sick,girl,scout
British Robot	Quite,sick
Calculon	Sweet,innocent,Bender
Wernstrom	declare,impenetrable,Diamondillium,sphere,complete
Farnsworth	look,Wernstrom,You're,making,sound,sphere,idea,know,credit,colleague,Ogden,Wernstrom
H G Blob	It's,horrible
Zoidberg	can't,make
Leela	I'm,trying
Zoidberg	faster
Hermes	Sweet,squid,Madrid,tentacle,got,Fry
Leela	Quick,hand,machete,save,legs
Fry	Silence,traveled,far,seen,deep,come,know,purpose,existence
Randy	Finally
Fry 	Thou,shalt,love,tentacle
Farnsworth	don't,love
Fry	new,age,begun,age,tentacle,Open,necks,receive,love
Warden Vogel	Ow,neck
Morgan Proctor	Ow,neck
Fishy Joe	neck,feels,perfectly,Ow,neck
Zoidberg	Hooray,Zoidberg,escaped,Hooray,Zoidberg,loves,tentacle
Hermes	got,Zoidberg
Farnsworth	Oh,knew,I'd,miss,gone,turns
Fry	sayeth,tentacle,Verily,thou,shalt,rejoice,house,tentacle
Leela	Fry,listen,You've,brainwashed
Fry	I'm,just,trying,fit,diction,importance,I'm,saying,let,speak
Leela 	I'm,listening
Fry	Don't,afraid,tentacle,Leela,It's,beautiful,loves,love
Leela 	Aw,That's,nice
Fry	know,strange,feelings,octopus,monster,universe,yes,it's,storybook,romance,that's,crammed,throats,Hollywood,Monsterpus,loved,afar,amoebas,space,anomaly,opened,finally,express,billion,years,longing
Leela	Really,loves,Diamondium,cannon
Fry	Hey,[He,yelps,he's,constantly,swung,harm's,way
Leela	effect,crystals,bouncing,tentacle,like,meatballs,Mothra
Wernstrom	Oh,surprise,told,Diamondium,worthless
Farnsworth	Wernstrom,quit,hyping,cheap,Diamondillium,look
Wernstrom	Uh,oh
Hermes	oh
Farnsworth	According,blinking,light,tentacle,electro,matter,matter's,bad,ass,grandma,universe,cut,Diamondium,Diamondillium,wife's,pound,cake,Hermes,we're,dead
