5	8	The Beast with a Billion Backs Part 4	6	8	20081019	80
Scene	Exterior,shot,church,tentacles,entering,moved,pulled,Interior,shot,Fry,ripping,robe]
Fry	We've,people,Monsterpus,monster,perv
Randy	touched,bad,place,spinal,cord
Fry	
Fry	Hey,wait,second
Yivo	Wait,wait,Allow,explain,Granted,desired,bang,quick,cheap,universe,it's,fault,universe,dresses,provocatively
Hattie	Does
Yivo	initial,filthy,thrill,wore,realized,knew,20,quadrillion,soul,mate
Zapp	loved,you,turn,treat,like,sort,woman
Yivo	lonely,didn't,know,anybody,It's,like,hurt
Amy	Yes,did,dumb,calamari
Yivo	
Amy 	Kif,Kroker,Fonfon,Ru,hadn't,tried,kill,he'd,alive
Yivo	Really,I'm,I'm,deeply,sorry,I'm,big,clumsy,jerk
Zoidberg	know
Yivo	undo,Oh,wait
Amy	Kiffy,you're,alive
Kif	Amy,love
Zapp	awkward
Kif	
Yivo	please,chance,rushed,relationship,let's,start,friends,things
Amy	Kif
Kif	don't,think,body,wasn't,warm
Amy	dead
Kif	minutes
Zapp 	That's,takes
Hedonism Bot	Calculon,sullied,Bender's,reputation,insinuating,human,lover,duel,engaged,Bender,offended,party,shall,choice,weapon
Bender	Planetary,annihilators
Calculon	'Tis,grave,solemn,day,League,Robots
Bender	It's,gonna,fun,bun
Hedonism Bot	duellist,10,paces,pirouette,like,madman,Gentlebots,paces
Bender	
Hedonism Bot	Oh,dreadfully,exciting,Oh,yes
Zapp	0800,hours,received,following,transmission,Yivo
Yivo	Hey,it's,Yivo,Want,Friday
Nixon	Analysis
Fry	Mr,President,think,need,seriously,consider,possibility,going,date
Miss Vega 4	agree,Yivo,makes,feel,sexy,I'm,asexual
Zapp	sugar,date
Nixon	favour,opposed,Motion,carried
Three Eyed Zebra	bogus,man
Bender	seven
Bender	Yes,got,Wohoo
Nixon	fellow,Earthlicans,commence,preparations,date,Yivo
ALL YIVOS	wonderful,time
ALL YIVO	
Calculon	Bender,you've,cheated,insulted,maimed
Bender	Uh,huh
Calculon	thoroughly,destroyed,secret,headquarters,process
Bender	Hey,it's,easy,criticize
Calculon	I'm,disgusted,loathsome,behaviour,resign,imbecilic,club,relinquish,presidency
Bender	Thanks,Calculon,autograph
Calculon	certainly
Nixon	Reports,people,reports,did,universe's,date
Zapp	Oh,really,fun,went,cute,French,place,village,lamb,chop,fell,floor,brought
Lrrr	Okay,Yivo,showed,good,time,one's,denying,shklee,hasn't,offered,universe,kind,commitment,we're,14,billion,years,old,old,play,field
Fry	can't,stand
Nixon	Shut,Shut,creepwads,Fry,you're,closer,Yivo,What's,skinny
Fry 	love,Yivo,it's,true,there's,hint,commitment,don't,know,heart,line,broken,stomped,like,nerd's,face
Nixon	favour,dumping,Yivo
ALL	Aye
Fry	Aye
Nixon	Resolved,universe,dump,Yivo,shall,break,news
Zapp	Let's,just,send,text,message,Say,we're,going,weird,stuff,right
Fry	deliver,news,person,universe,tried,classy
Nixon	there's,thing,Nixon,known,it's,class,Let's,cut,turd,loose
Bender	Yeah
Fry	Hey,Bender,perky,today
Bender	Yep,wanna,grab,booze
Fry	can't,right,We're,going,universe
Bender	Great,I'll,make,Hot,Pockets
Fry	Bender,know,robots,can't,anomaly,Living,beings
Zoidberg 	Ow,Ow,Mmm
Bender	long,slaves,meatbags,pretend,friends,they're,'cause,they're,busy
British Robot	
Bender	fellow,leaguie,weegies,time,come,overthrow,humanity
Hedonism Bot	Oh,Bender,hate,defecate,parade,dues,paying,members,we're,fey,doughy,lot,overthrow,humanity,we'd,need,damned,army
Bender	damned,army,shall
Robot Devil	think,strike,deal,Bender,shall,army,damned,return,ask,just,thing,just,itty,bitty,thing,firstborn,son
Bender	Just,sec
Bender's Born Son	Daddy,knew,you'd,come
Bender	
Robot Devil	Wow,pretty,brutal,standards
Bender	backsies
Yivo 	Oh,hi,honey,poo,What's,movie's,hour
Fry	Um,So,yeah,thing
Yivo	Look,homemade,Twizzlers
Fry	hard,Yivo,know,things,break
Yivo	Wait,hang,looking,perfect,moment,heck,I'll,burst,wait,second
Zapp	Sweet,Sally,alley
Nixon	Break,up,delegation,hear,report,grateful,universe,proud,honour,great,taste,Charleston,Chew
Fry	Thank,Nixon,brace,shocking,development,history,human,race
Bender 	human,race,bite,shiny,metal,ass,thousands,years,robots,slaved,humanity,time,came,hang,like,Maybe,later,Bender,it's,later,meatbags,late,we're,taking,Earth
Fry	Okay
Bender	
Fry	don't,need,anymore,Yivo,proposed,We're,moving,shkler
Bender	You're,leaving,can't,Yivo,just,We'll,cot,Europe
Farnsworth	Don't,daft,Bender,Yivo,can't,breathe,outside,electric,ether,shkler,universe,shklee,came,shklee,shkluffocate
Bender	shklit
Hermes	Look,fantastical,golden,escalators
Zoidberg	love
Leela	Wait,didn't,agree
Petunia	place,makes,Nutley,look,like,crap
Fry 	I'll,miss,Bender,follow,heart,robots,good,care,Earth,keys,Bermuda,Triangle,Lock,world,ends,Goodbye,friend
Bender	Wait,Let,come
Fry 	I'm,sorry,Bender,Robots,don't,heaven
Bender 	Death,humans
YIVO	Welcome,welcome,Oh,look,beautiful,wish,I'd,time,straighten,harps,just,lying
Amy	Oh,relax,it's,fine,looks,lived
YIVO	Let's,heat,leftovers,spend,eternity,request,you're,promise,you'll,communicate,universe
Fry	promise,Yivo,far,we're,concerned,you're,universe,world
Bender	humanity,called
Robot 1 X	sir
Bender	Check,messages,flashing,light,means,somebody,called
Robot 1 X	know,means
Leela	thinks,sham
Zoidberg 	Yes
Leela	isn't,heaven,just,looks,exactly,like,makes,immortal,suspicious
YIVO	Allow,explain,Centuries,ago,sent,image,myself,minds,artists,heavenly,clouds,painted,depict,vapour,exude
Farnsworth	wish,exuded,smelled,half,good
Leela	angels,kind,Scooby,Doo,esque,flashlight,projection
YIVO	Actually,mindless,jakabirds,surface,free,parasitic,larvae
Fry	didn't,like,Country,Bear,Jamboree,Leela,There's,pleasing
Fry 	Dearest,Bender,fine,happy,Leela,know,didn't,like,Country,Bear,Jamboree,I'm,madly,love,Yivo,feel,like,schoolgirl,crush,Justin,Timberlake,moves,tiny,house,head,giant,rubies,taste,like,root,beer,Sincerely,Fry
Robot 1 X	Letter,hyperlord,Bender
Bender	Honeymoon's,eh,Turns,octopus,girlfriend,big,nag,curlers,tentacles,huh,let's,just,Bender,Oh,Stupid,electro,matter,best,trash
Hermes	Misfile,U,euphoric
Zoidberg	infinite,number,meat,dishes,free,refill,soda
Farnsworth	Eureka,elementary,proof,Goldbach,conjecture,]
Leela	Okay,admit,people,happy,it's,wholesome,that's,what's,wrong,heaven,It's,boring,There's,sleaze
Thog	time,snu,snu
Zapp	like,snu,snu
Amy 	Mattress,Island,rotten,egg
Fry	angry,jealous,universe
Kif	don't,know,childish
Amy	Look,it's,Leela
ALL	Hi,Leela
Yivo	I'm,sorry,you're,happy,Leela,I'll,escalator,You'll,little,purple,pumpkin
Leela	know,Yivo,I've,loved,lost,times,afraid,I'm,anymore,want,stay
Yivo	Ow,Ow
Fry	What's,happening
Yivo	Hey
Bender 	robots,can't,heaven,heaven,come,hands,abaft,Army,damned,prepare,board,heaven
Bender	scurvy,Kraken,That'll,teach,despoil,human,booty
Bender	'Allo,big,beak,slow,Missed,footcup,I'll,stab
Fry	Bender,stop,destroying,heaven
Bender	Shut,doofy,I'm,rescuing
Yivo 	Leave,living,beings,love,lifeless,mechanism,understand
Fry	He's,right,Bender,little,pink,sword,home,Fry,did,say,shklee
Bender	Seriously,did,pirate,themed,attack
