6	11	Lrrreconcilable Ndndifferences	7	11	20100826	99
The Scary Announcer	You're,taking,vacation,normalcy,setting,weird,motel,bed,stained,mystery,there's,mystery,floating,pool,key,card,open,exercise,room,smeared,mystery,lock,open,Scary,Door
Announcer	Submitted,Emmy,consideration,popular,Senator,unpopular,ideas
Senator	There's,thing,space,aliens
Man	Oh,sure,aliens,ain't
Senator	I'll,tell
Lrrr,Hey,watching,Saints,just,needed,field,goal,tie
Ndnd	Lrrr,lazy,ruler,planet,Omicron,Persei,8,said,conquer,planet,today,shed,skin
Lrrr	Yes,Ndnd,heard,times,I'll,conquer,tomorrow,fuel,disgusting,egg,white,omelets
Ndnd	want,yolks,Fine,Enjoy,stroke,'
Fry	Erth
Invader X	Ha,ha,ha,conquering,Erth
Leelis Lane	fast,Invader,X,comes,Delivery,Boy,Man
Delivery Boy Man	Special,delivery,Invader,X,Laser,eye,power,Hand,magnet,power
Leelis Lane	Yay,I'm,unbuckled,[Delivery,Boy,Man,uses,hand,magnet,power,bring,Lane
Invader X	Stop,hero
Delivery Boy Man	Reverse,time,power
Delivery Boy Man	It's,earlier
Fry	think,comic
Bender	Let,like,leave,I'm,getting,memory,enema
Leela	offer,constructive,criticism,real,peril,mean,delivery,guy,like,30,superpowers
Fry	that's,bitten,radioactive,superman
Zoidberg	wonderful
Fry	isn't,Wait,ads
Zoidberg	X,ray,specs,really,guesswork,surgery,chopping,blindly,goop
Prof Farnsworth	Don't,waste,allowance,Zoidberg,stuff,butt,grade,crap
Paper hatted salesman	Amuse,friends,real,vomit
Man #1	Throw,voice
Woman	Sea,monkeys
Man #2	Throw,sea,monkeys
Farnsworth	disintegrator,ray,really,works
Amy	that's
Farnsworth	That's,know,it's,bunkum,Farnsworth,Novelty,Disintegrator,Ray,common,teleporter,ray,Worthless,toy
Fry	I'm,sick,critiqued,nitpicking,nerds,I'm,taking,comic,book,convention
Amy	Smeesh,it's,crowded
Bender	Good,thing,freshly,bathed,groomed
Nerd	doing,That's,rare,Zapp,Brannigan,recording,session,blooper
Action Figure	Don't,tell,line,sickens
Zoidberg	sign,said,mint,box
Groening	Thank,Okay,thanks,Thanks,Settle
Groening	we're,really,excited,guys,pilot,new,TV,series
Cohen	It's,set,year,4000,Futurella
Groening	Wow,Fox,really,streamlined,process
Bill Morrison Robot	Matt,questions,Futurella,Simpsons,Yes,robot,standing,small,child
Bender	Yeah,going,make,second,Simpsons,Movie,D'oh
Fry	Mr,Aragonés,I'm,big,fan,cartoons,mustache
Aragonés	want,It's,brought,misery
Fry	Wow,Thanks,just,quiet,wanted,opinion,comic,book
Aragonés	Señor,writes,comics,hero,Mmm,stinks,um,like,tiny,doodles,margins
Fry	Oh,that's,just,relish,hot,dog
Man	Attention,ladies,gentleboys,costume,contest,begin
Bender	costume,contest,costume,contest
Leela	hell,supposed
Bender	nerd's,fantasy,baby
Randy	contestant,number,36,drives,Contestant,36,contestant,37
Lrrr	Lrrr,ruler,planet
Randy	Hold,second,let,just
Lrrr	Lrrr,ruler,planet,Omicron,Persei,8,conquered,line,order,Beryllium,takes,kill
Grrrl	Damn,that's,good,costume
Randy	contestant,38
Lrrr	don't,understand,human,eating,soft,pretzels,instead,surrendering
Leela	They're,probably,waiting,Joss,Whedon
Lrrr	Joss,Whedon's,Wait,minute,look,familiar
Leela	Yeah,ate,mouth,minutes
Lrrr	Leela
Randy	winner,Nerdgasma
Bender	Wooh,I've,got,fruit,boobs
Lrrr	What's,use
Lrrr	
Ndnd	send,conquer,planet,bring,JJ,Abrams',face
Lrrr	thought,you'd,like,haven't,tried
Ndnd	dress,face,took,nice
Lrrr	Oh,boy,built,castle,slaves,gonna,kick
Lrrr	Lrrr,ruler,planet,Omicron,Persei,8,crash,couch
Farnsworth	just,showed,unannounced,raided,liquor,cabinet,sprayed,urine,ceiling,passed
Amy	walls
Lrrr,Leave,wife,hates,planetary,conquest,chore
Farnsworth	there,You're,just,having,mid,life,crisis
Lrrr	Mid,life,crisis,eh,Lrrr,demands,comfort,pop,psychological,platitudes
Bender	Look,hoss,wife,threw,That's,license,jerk,hell,want,walk,away,light,cigar,[He,pulls,cigar,chest,cabinet,lights,walks,away
Leela	Don't,listen,Bender,happy,long,tern,need,reinvest,relationship,Ndnd
Lrrr	Yes,it's,clear
Lrrr	like
Surgeon	I'm,thinking,downplay,hideous,growths,head
Lrrr	Horns,sign,virility,house,testes
Surgeon	I'm,thinking,horn,extension
Bender	You'll,need,arm,candy,It's,perfect,accessory,out,of,shape,middle,aged,creeps,like,Yeah,said,What's,time,Borgnine
Lrrr	Big,angry,[He,unzips,jacket,pulls,magazine,unfolds,pages,reveal,picture,naked,Omicronian,woman,Bender's,eyes,zoom,suddenly,wilt
Bender	Look,brah,just,gonna,lot,hot,gigantic,Omicronian,babes,solar
Lrrr	There's
Grrrl	Hey,cool,cape,Were'd
Lrrr	old,thing,murdered,father,name's,Lrrr,ruler,planet,Omicron,Persei,8
Grrrl	called,Grrrl
Lrrr	planet,Omicron,Persei,8,pretty
Lrrr	What's,TV,tonight,Oh,wait,don't,care,I've,got,date
Leela	know,isn't,want,hear,think,mistake
Fry	Leela's,right,isn't,want,hear,want,hear,fixed,comic,book,hero,repeatable,ridiculous,powers
Lrrr	Let's,watch,shall
Invader X	step,little,Miss,Constructive,Criticism,gets
Delivery Boy Man	Oh,yeah,just,simple,delivery,boy,superpowers,there's
Invader X	Okay
Fry	honest,praise
Leela	Fry,I've,seen,comic,books,listen,care,hero,does
Lrrr	Hmm,dinner,worthy,foe
Grrrl	Yes,shall,like,um
Lrrr	Um,I'm,sorry,haven't,just,got,partway,bad,relationship
Grrrl	Maybe
Lrrr	You're,human
Grrrl	physically,I'm,cross,species,dresser,Wait,you're,actual,Omicronian
Lrrr	Oh,God,Oh,God
Grrrl	hot,Conquer,Lrrr,Sharpen,horns,scaly,thorax
Lrrr	want,home,Ndnd
Leela	Ndnd,just,wants,she,beast,wants,feel,like,you're,listening,nagging,riding,ass
Lrrr	Conquering,things,guess,conquer,Earth,kill,humans
Bender	There's,thought
Leela	don't,need,war,worlds
Fry	That's,need,War,Worlds,I'll,Orson,Welles
Bender	Dork,calling,Orson,Dork,calling,Orson
Welles	You're,asking,renowned,spokesperson,Paul,Masson,wine,recreate,brilliant,1938,radio,broadcast,merely,decieve,impress,wife,skinny,reptile
Fry	Sorry,mind
Welles	free
Welles	Ladies,gentlemen,interrupt,program,Jonas,Brothers,orchestra,bring,special,bulletin
Welles	I'm,speaking,hickory,farms,Grover's,Mall,New,Jersey,mouthful,summer,sausage,mmm,hardly,know,Mmm,huge,spacecraft,piloted,devastatingly,handsome,God's,know,fellow,looks,like,he's,inside,ship,miles,air,It's,just,foolish,face
Fry	want,cheese,log,you'll,read,wrote
Welles	shall,comply
Welles	I'm,getting,reports,cities,globe,destroyed,noble,invader,good,looks,apparently,discernible,vast,distances,solid,metal,wait,leader,attack,swaggering,ship,convenient,nearby,microphone,couldn't,just,described,appearance,point,type,thing,I'm,talking
Ndnd	Ooh,swear,horns,gotten,longer
Kif	Sir,I've,intercepted,Earth,broadcast
Zapp	Zenith,Oh,God
Zapp	hell,Little,Orphan,Annie,We've,got
Lrrr	What's,honey,dead,Uh,don't,know,80,million,Okay,love,Ndnd,she's,taking
Welles	I'm,sorry,I've,difficult
Zapp	thought,conquer,easily,eh,Nice,job,surrender,Earth
Welles	Damn,I'm,good,cheese,log
Zapp	Oh,glorious,conqueror,permit,offer,sacrifice,'bout
Kif	Hey
Lrrr	Yeah,he'll
Lrrr	Fine,okay,conquering,thing,Funny,story
Ndnd	Hello,Lrrr
Leela	Lrrr,stop,right
Lrrr	Okay,okay,Quit,nagging
Ndnd	Lrrr,yelling,softly,purple,furred
Lrrr	Uh,it's,queen
Leela	messed,hair
Kif	I'm,missing,leg
Zapp	fought,like,Hell,sir,end,caved,like,house,soufflé,cards
Nixon	Got,Peace,honor,resign
Ndnd	Come,Nixon,Introduce,kitchen,staff,lay,law,Lrrr's,low,sodium,diet
Leela	You've,got,tell,truth,lay,salted,peanuts
Lrrr	I'm,just,trying,leg,taste,mouth
Ndnd	Lrrr,I'm
Lrrr	little,time,lady,like,Ndnd,use,finesse,Coming,giangantums
Ndnd	Mmm,That's,crisp
Lrrr	Yes,squamous,dorsal,plates,moonlight
Ndnd	experiencing,arousal,organs,moving,position
Lrrr	Ndnd,there's,I've,got,tell
Ndnd	
Ndnd	spark,reunited,marriage
Lrrr	Yes,Exactly,Good,night
Leela	Oh,lord
Lrrr	couldn't,tell,truth
Ndnd	knew
Bender	Frying,pans,Cast,iron,frying,pans
Lrrr	It's,looks,like
Leela	say,Tell
Ndnd	Tell,heavy
Lrrr	invasion,fake,just,wanted,impress
Ndnd	lied,hiding
Lrrr	
Grrrl	want,Lrrr,I'm,willing,fight
Bender	I've,got,colander,pie,pan
Ndnd	Lrrr
Lrrr	Look,date,barely,mated
Ndnd	harbor,resentment,want,know,Bossy,Boots
Lrrr	She's,just,bossy,friend
Ndnd	Exactly,nagged,tormented,pushed,job,settled,demand,ancient,ritual,Rrrmrrrmrrrfrrrmrrr,Consequences
Fry	Rrrmrrrmrrrfrrrmrrr
Ndnd	Let,ritual,begin,rules,the,home,version,Lrrr,simply,choose,myself,Leela
Leela	Fine,Hurry
Ndnd	shooting,rejects
Leela	Lrrr,I'm,getting,angry,Don't
Ndnd	boss,boss
Fry	Leela's,gonna,die,wouuld,Delivery,Boy,Man
Ndnd	want
Lrrr	Oh,nag,nag,nag
Ndnd	want,stop,nagging,shoot
Lrrr	Oh,you'd,like,wouldn't
Ndnd	Beats,staring,fat,ass,couch
Ndnd	Oh,yeah,I'll
Fry	Ray,blocking,power
Leela	Fry
Ndnd	Lrrr,willing,shoot,bossy,temptress,really,value,nagging
Leela	Good,night,dumb,prince
Grrrl	Come,Lrrr,wanna,Popplers,They'll,Hello
Zoidberg	course1,I'll,marry
Amy	Wait,Shmell,happened,thought,Ndnd,disintegrated,ray,gun
Grrrl	It's,just,cheap,teleporter,bought,comic,book
Farnsworth	Cha,ching
Leela	teleporter,gun,means,Fry
Zoidberg	Fry
Bender	
Leela	Fry,you're,alive
Fry	know,exactly,end,comic,book,Let's,watch
Invader X	Say,good,bye,forehead,I'm,gonna,shoot
Delivery Boy Man	leap,death,ray,I'm,going,Jumping,sound,Ow
Invader X	didn't,shoot,usual,delivery,arrived,soon
Lane	Oh,Delivery,Boy,Man,saved,random,chance
Delivery Boy Man	Don't,thank,random,chance,Thank,meteor,wishing,power,lips
Leela	Good,ending,great
