6	26	Reincarnation	8	13	20110908	114
Galactic Entity	wise,man,said,really,dies,just,comes,new,form,died,time,lowly,salamander,think,twice,step,It,Stand,Reincarnation
Planet Express headquarters	'Owdy,folks,Come
Leela	Jumpin',Joe,an',golly,jeeper
Bender	Watch
Fry	Oh,it's,just,love,Leela,awful,think,space,age,dame,like,marry,two,bit,low,life,delivery,boy,like,an','ave,bad,posture,severe,financial,problems
Bender	tried,gettin','er,pregnant
Fry	Gosh,yes,I've,tried,an',tried,far,got,Amy,pregnant
Bender	know,problem,smoke,face
Fry	wanna,ask,Leela,marry,can't,afford,diamond,ring,big,express,love
Bender	That's,sure,measly,salary,steal,month
Horn loudspeaker	crew,report,laboratorium,wiggle
Fry	Thanks,heads,up,Sparky
Horn loudspeaker	Mhm,Fish,Friday,An',Human,flesh,rest,week
Professor Farnsworth	Movietone,News,I've,discovered,new,comet
Leela	boys,Let,lady,gander
Professor Farnsworth	Hang,Let,just,adjust,eye,level
Leela	Holy,matrimony,That's,flashy,rock
Professor Farnsworth	It's,pure,diamondium
Fry	Um,possible,break,piece,an',engagement,ring,reasons,private
Professor Farnsworth	Oh,fuff,universe,fracture,diamondium,God,1,an',God,2,behold,tail,composed,abrasive,comet,powder,that's,just,need,washday,shine,new,Doomsday,device,hop,flivver,score,o',sweet,sweet,powder
Hermes	Comet,ahoy,it's,lit,like,smooth,refreshing,Chesterfield
Professor Farnsworth	plenty,powder,want,bomb,sparkle,like,floor,Grand,Central,Station
Amy	Watch,ya,stumblebums,You're,boopin',betty
Fry	Um,I'll,jiff,gotta,check,comet,anarchists
Fry	Wouldja,look,gem,Slap,shiner,ring,an',an',Leela,doing,married,horizontal,Charleston,time
Fry	Alright,diamond,won,rounds,I've,got,ace,hole
Leela	love,time,day,There's,beautiful,stillness
Fry	Leela,don't,know,words,feel
Leela	Good
Fry	Huh,guess,guy,feels,good,'is,sweetheart,'e,wants,prove,giving,'er,somethin',really,Good
Leela	I'm,listenin',big,lug
Fry	I'm,tryin',say,world,couldn't,diamond,good,stars,beautiful,affordable,stars
Leela	mean,disappeared,comet
Fry	Exactly
Leela	thought,snuck,dump
Fry	man,sneak,things
Leela	Oh,Fry
Fry	exactly,seconds,Doomsday,device,blow,stone,loose,An',calculations,correct,land,finger
Leela's finger	You've,happiest,finger,wide,hand
Fry	Comet,kaboomination
Bird	Uh,Hello,Cuckoo
Fry	diamond,didn't,break,you'll,know,'ow,love,went,kersplitters
Leela	Fry,don't,need,diamond,You've,given,beautiful,rainbow,I've,seen,colours,spectrum
Fry	beautiful,swell,gal,like,deserves,better
Leela	What's,eye,playing,trick,It's,beautiful,Fry,you've,created,new,colour,Totally,different,colour,combination,colours
Fry	Shucks,It's,half,beautiful,Whoa
Leela	Whoa,wish,moment,forever
Fry	Leela,love,marry
Alien	Bernilla,love,marry
Bernilla	Blorg,Blorg,thousand,times,blorg
Bender	Ba,da,ba,da,ba,dip,That's,jerks
Professor Farnsworth	Good,news,multiplayers,lifetime,toil,I'm,verge,solving,mysteries,science
Bender	leave,early
Professor Farnsworth	Certainly,demonstrate,new,microscope,lens,debris,diamondium,comet
Bender	Eh,Professor
Professor Farnsworth	Yes,Bender
Bender	Boo,Okay,bad,Goodbye
Professor Farnsworth	You're,level,lens
Bender	Bite,8,bit,metal,ass,That's,Bite,Y
Hermes	say,mon
Professor Farnsworth	lens',remarkable,quark,lattice,structure,capable,unthinkable,magnification,Come,Follow,lab
Bender	Hey,I'm,gonna,try,long,meatbags,Son
Professor Farnsworth	Eh,let,just,insert,lens,microscope,time,able,infinitesimal,fabric,matter,itself,Laying,bare,fundamental,laws,universe
Leela	Hey,Fry,know,lay,bare
Fry	Leela,Shhh,I'm,tryin',listen,physics,lecture
Professor Farnsworth	examine,matter,old,matter
Hermes	Mon,that's,cheap,ass,matter,hell
Professor Farnsworth	Oh,it's,just,log,hole,the,sea,penetrate,deepest,mysteries
Leela	Hey,Fry
Fry	Leela,means
Professor Farnsworth	Oh,There's,frog,bump,log,hole,the,sea
Leela	An',that's,ultimate,secret,universe
Professor Farnsworth	Apparently,Wait,There's,snail,tail,frog,bump,log,hole,the,sea
Hermes	Dear,Eliza
Professor Farnsworth	snail,itself,composed,cells,molecules,atoms
Fry	Pfff,things,don't,rhyme
Professor Farnsworth	Things,rhyme,minus,angstroms,dope,ions,an',pions,muons,an',gluons,neutrinos,gravitinos,We're,closing,smallest,particles,matter,time,we're,observe,fundamental,structure,universe,finely,wrought,intricate,beauty
Leela	It's,like,staring,face,God
Scruffy	It's,mirror,Scruffy's,soul
Professor Farnsworth	explains,Big,Bang,created,universe,that's,left,mathematics,h,bar,uh,carry,infinity,My,reka,Grand,Unified,Theory,Reducing,laws,nature,single,equation
Amy	Professor,did,solved,problem,baffled,Einstein,an',drove,Stephen,Hawking,quit,physics,cartoon,voice,actor
Stephen Hawking's head	like,physics,love,cartoons
Professor Farnsworth	greatest,moment,scientific,history,questions,left,answer
Stephen Hawking's head	Yay
Amy	Yay
Hermes	Woohoo,Alright,Professor,Okay,work
Professor Farnsworth	Wait,questions,left,answer
Professor Farnsworth	Oh
Morbo	today's,high,scores,Linda
Linda	Thanks,Morbo,Coming,Galaxians,need,know,protect,family
Professor Farnsworth	people,knowing,there's,know
Fry	watch,TV,It's,best,thing,bein',alive
Professor Farnsworth	What's,use,I'm,just,capable,happiness,dumb,I'd,mistake
Stephen Hawking's head	didn't,checked,invariance,Lagrangian,Hubba,hubba
Professor Farnsworth	there's,left
Bender	cheer,punched,Fry,groin,'Cause,I'll,Regardless,Body,blow,Body,blow
Professor Farnsworth	devoted,waking,minute,answering,fundamental,questions,science
Professor Farnsworth	married
Professor Farnsworth	Rarely,went,outside
Professor Farnsworth	I've,answers,realise,living,questions
Fry	stinks,Professor,bad,universe,turn,way,way,wonder,did
Stephen Hawking's head	Probably,magnets
Professor Farnsworth	Shut,Hawking,Fry,idiot,You're,genius,laws,physics,Instead,laws,we'd,recreate,conditions,Big,Bang,decades,work,thousands,scientists,particle,accelerator,powered,dump,trucks,flaming,grant,money,course,there'd,guarantee,success,case,I'd,live
Leela	I'm,surprised,lived,sentence
Hermes	Sorry,wasted,life,Professor,guess,know
Professor Farnsworth	pursuit,knowledge,hopeless,eternal,Hooray
Amy	Yay
Hermes	Yeah,heah
Bender	Woohoo,Alright,Yay
Professor Farnsworth	Action,Delivery,Force,assemble
Bender	Mighty,Merchandise,Robot
Transition Announcer	Space,Planet,4,Aliens,communicate,dancing
Transition Announcer	worshipping,giant,comet
Subtitle	hail,great,comet,Beloved,mascot,popular,shrimp,crunch,snack,God,Foreigners,killed,God,words,disapproval
Leela	Team,assembled,box,old,witch
Professor Farnsworth	Ha,ha,ha,I'll,tell,It's,deep,space,emotion,detector,detector,tell,you're,impressed,Wha,marvellous,device,It's,detecting,massive,burst,anger,deep,space
Subtitle	Earth,Attack,previously,discussed
Fry	Flying,bananas,Ha,ha,slice,morning,fish,porridge
Professor Farnsworth	time,jokes,Fry
Fry	tell,that's,joke,lead,defence,fight
Professor Farnsworth	Ha,ha,ha,ha,Don't,make,laugh,fight,we'll,surely,destroyed
Hermes	hope
Amy	summon,Zagtar,defender,space
Hermes	forget
Hermes	Zagtar,destroyed,crystal,space,devil
Leela	crystal,space,devil,brother,Prince,Hiroshi
Leela	mourn,loss,matters,protecting,Earth,fruit,armada
Professor Farnsworth	mother,water,Mutant,didn't,raise,fools,Turanga,Leela,hope,communicate,Aliens,peaceful,intentions
Bender	speak,perfect,English
Professor Farnsworth	can't,chance,We'll,need,universal,auto,translator
Professor Farnsworth	universal,auto,translator
Fry	peaceful,intentions
Professor Farnsworth	question,spokesman
Zoidberg	Me,Choose,Zoidberg
Fry	Zoidberg,diplomat,list,things,I've,heard,contains
Zoidberg	Hear,words,shell,tough,like,samurai,honeymoon,mask,inside,I'm,soft,sensitive,girl,custard
Cubert	Custard,time,Hooray
Zoidberg	certain,succeed,delicate,manner,Oops
Leela	Instead,send,peace,transmission,honoured,visitors,greet,peace
Subtitle	does,flap,face,hole,puzzled,don't,know,mouths,It's,threat,Destruct
Hattie	Kajigeru,desu
Professor Farnsworth	attempts,communicate,Aliens,failed,fear,option,thrilling,space,battle
Bender Fry	Power,friends
Male voice	Launch,missiles,Launch,missiles
Professor Farnsworth	defeated,battle
Bender	Oh,They're,forming,Gigatron
Professor Farnsworth	Defeat,can't,communicate,bone,jelly,ghosts,we're,doomed
Amy	Professor,'ave,analysed,Aliens',movements,movement,analyser
Professor Farnsworth	device,gift,ancestors
Amy	movements,form,language,speaking,Ja
Transition Announcer	English
Amy	Like,speak,dancing
